url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://washingtondc.craigslist.org/doc/w4w/5481810396.html,washingtondc,doc,2016-03-08 08:52,2016-03-14 09:32,msr,w4w,Asian looking to get fucked in the ass with your strap on,"
I'm an Asian guy . Married . Discreet. Wanted a women to fuck my ass with strap on. Be discreet and real .
",39,athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/mld/w4w/5490183988.html,washingtondc,mld,2016-03-14 04:51,2016-03-14 06:24,msr,w4w,looking for a gf,"
Hey 18 looking for a gf my age or under u can kik me hennyflavored... Hit me up no old people please..just thought id give this a try.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/w4w/5466605484.html,washingtondc,nva,2016-02-26 23:33,2016-03-14 00:56,msr,w4w,Work out partner,"
Hi I am a member at planet fitness and seeking a work out partner . I am located in alexandria Va,but can go to any planet fitness. At the same time hoping to make some new lesbian friends..

Cheers..
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/mld/w4w/5490055545.html,washingtondc,mld,2016-03-13 23:42,2016-03-13 23:43,msr,w4w,Something true,"
Hey ladies. 

I am looking for friendship/fwb that could turn into more. I have been with men and women before and not only am I in need of a woman's touch, I am hoping she can be Mrs. Right. We can meet up and get to know each other first and go from there. I like movies, books, a wide variety of music, singing, and anime. I'm definitely a little nerdy, haha. I am a Capricorn with a huge heart, and I just can't seem to tame the hopeless romantic in me. I love to laugh and can be shy at times but really outgoing once I get comfortable. 

I am 26, single, AA, average/hwp, 420 friendly, femme with a tomboy side. I typically go for Caucasian, or Hispanic/Latina femmes but all ethnicities are welcome. I also like hwp/athletic/average. Age 24 - 30. Sorry, no bbw, no couples, no men. Please be goal oriented and employed. Need to be able to hold good, meaningful conversation.

If you're interested, reply ""something true"" with your zodiac sign and include a pic. Your pic gets mine :-).Please be local, no long distance. Must be able to VV
",26,hwp,,,,,,,,,,,," 5'3"" (160cm)",,,,,,,,,,,,,,single,,♑ capricorn
http://washingtondc.craigslist.org/doc/w4w/5489976764.html,washingtondc,doc,2016-03-13 22:14,2016-03-13 22:27,msr,w4w,Single and waiting,"
African American 24 year old , I'm down to earth , very fun to be around , I like to go out enjoy drinks and dinner , Netflix , museum's , shopping , spa's , music , reading books , learning new things, I'm very independent, I have a lot of ambition , I'm not shy at all , I love affection , tender kisses ,being romantic , spontaneous, and kinky ! I have nothing to hide so any questions feel free to ask , I'm very open minded and understanding . I don't mind sharing pics I like to put faces with post , I also don't mind voice verifying . Please don't waste my time I don't want to constantly email back and forth . Also no couples please !!!!
",24,athletic,Tattoos,,,,,,Caribbean heritage,,,,," 5'0"" (152cm)",,,1,,,,,,,,,,,single,125,♌ leo
http://washingtondc.craigslist.org/doc/w4w/5489948055.html,washingtondc,doc,2016-03-13 21:46,2016-03-13 22:12,msr,w4w,Question for all my Femme Bartenders,"
Couple of questions for all my femme bartenders:

So here's the situation and scenario. Haven't really been out on the scene in a while so forgive my ignorance but I wanted to get the opinion of others as to how to proceed:

Here's the scenario:

I'm a soft stud - clearly more stud than femme - and I went out to a bar tonight. Ordered food and a couple of drinks. Was served by a very nice feminine woman behind the bar. Wasn't crowded at all. Anyway at the end of the night she hands me the bill with the proper amount showing (total of the food plus drinks). I hand her my card to pay the bill but when she gives me the slip to sign, it only reflects about a 1/3 of the total cost of the original bill. So here are my questions:

1. Was she in fact flirting with me?

2. What is the proper etiquette for bartenders who give you the hook up by only charging you for a portion of your drinks as it relates to tipping? Should the tip only be done in cash at that point?

Honest questions from an honest person, simply looking for some answers. Oh and if the PYT who hooked me up tonight reads this post, I'm definitely interested in your response!

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/w4w/5489968413.html,washingtondc,nva,2016-03-13 22:06,2016-03-13 22:06,msr,w4w,Female seeking friends,"
I am a mature woman seeking to meet another woman.

Be ready to vv. (voice verify)

Tall, slender built, brown eyes, manicured nails, fashion conscious, disease free..drug free with a beautiful spirit.

...not into BBW's. Or couples..
",46,average,,,,,,,,,,,,,,,,,,,,,,,,,,married,,
http://washingtondc.craigslist.org/mld/w4w/5489946747.html,washingtondc,mld,2016-03-13 21:45,2016-03-13 21:55,msr,w4w,ISO my queen,"
Like the title says im in search of my queen im not a stud im not a femme im in between i dress up for work but jeans and converses on weekends i have a big heart i treat people really well i hate to be played or taken advantage of from my kindness im looking for someone i can talk to everyday share my thoughts with wine and dine go for ealks with my dog go for drives i live bymyself have a job im open to all types of women dont be shy i look forward to hearing from you reply with a pic so i know your real no men please my pic is attached
",24,curvy,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/mld/w4w/5489725837.html,washingtondc,mld,2016-03-13 18:25,2016-03-13 19:18,msr,w4w,Heyy Luvs 👯😘,"
Hey hey hey! 

Im looking for my new bestie. Someone as fun, outgoing, loyal, and mature as me! Some one I can call and do things like out to eat, bars, go karts, bowling, etc. I dont really club alot. Also Im trying to get my body in shape so maybe we can do things like pole dancing or zumba, and grab a cinnabon after lol. I just want a cool chill friend who needs a bestie as bad as I do and we can create a long lasting bond. 

Now it doesnt matter if you bi or les, im bicurious myself. (So maybe we can be discreet fwb on a drunk night lol) Mainly I just want a friend where we can talk everyday and whos serious. I met people on here before but had no luck. They either was just pic collectors or inconsistent. I dont have no more time to waste. I especially need to find a friend before my 25th birthday when I take a trip to Vegas lol. 

Im really easy to get a long with and have a great personality so hit me up if you feel we connect or even if you dont feel so we can try. I get along with everybody. Even if you just need a friend to vent to im your girl. I love helping people. Im a great friend to have :) I lost my other friends because we grew apart or from their betrayal. But ne who, just reply and tell me a little bout yourself and attach a pic :) 

I give why to much into my friendships and never get the same in return. So if your just looking to email back and or disappear after one day dont bother! 

No doms. No men. No couples. Please be ddd free. Please be between ages 23-28. Looking forward to meeting my new bestie :) 

P.s I know cl is a weird place to make friends but hey Ill try anything once lol ttys fingers crossed :)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/w4w/5489768457.html,washingtondc,nva,2016-03-13 19:02,2016-03-13 19:02,msr,w4w,Tonight tonight tonight,"
African American. 25. I am an inexperienced first timer and seeking someone who has alot of experience and nasty, for some discreet kinky fun especially with strap ons. I prefer an older black woman , but will consider younger 

No men no couples and no studs 

Be ready to voice verify and have pics in the email.
",,,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://washingtondc.craigslist.org/doc/w4w/5489605544.html,washingtondc,doc,2016-03-13 16:48,2016-03-13 18:38,msr,w4w,ISO THE ONE....,"
HI femme ladies....

I am iso of attractive femmes , hpw, into fun stuff for dating, chillin, whatever turns you on....

I am single, attractive scorpio living in DC, ready to turn it up and meet you for fun, friendship and whatever else you want to do......
I love playing sorts &giving and receiving sensual massages.
send me a message with your pictures and what you want to do with me....
;-0
",,athletic,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/mld/w4w/5489646819.html,washingtondc,mld,2016-03-13 17:20,2016-03-13 17:20,msr,w4w,Need a cute FWB,"
I am looking for a cute potential FWB. I'm fem and need a cute fem to just be my go-to for either drinks, smoke, and sexy time when I need it. 420 friendly, good vibes. 21-25. No BBW. Average/slim/athletic yes! 
I'm Latina, 5'5"", average nice body, 23. 
No pic no reply. Feminine girls only ;)
",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/mld/w4w/5489621443.html,washingtondc,mld,2016-03-13 17:00,2016-03-13 17:01,msr,w4w,"Sweet, sensual and caring","
Tonight is the night!!! Let's go out to dinner and see where it goes. Hello ladies!!!! I work in PG county and am looking to meet someone real for friends with benefits type of situation. Not into fakers or bsers. I can be shy at times but am a straight shooter and not into bs. Looking to meet someone tonight and go from there. I love life and have eclectic taste in everything. I am as real as they come and it is pouring rain outside right now. Please put your favorite color in the subject line. I look for beauty within and not pussy pics either.... so please send me some info about yourself and a face pic. thanks a lot for your time
",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/w4w/5489589588.html,washingtondc,nva,2016-03-13 16:36,2016-03-13 16:36,msr,w4w,Hi. I have a special request for a friend..,"
Hi. Thanks for stopping by to look at my ad. I am a long time crossdresser who has been dressing up in closet. I finally have decided to get some help from a female friend who can help me understand the best way to go about it. I am looking for a friend to find my inner woman and guide me through this. You will find a very good friend in me and I won't disappoint you. Please reach out if you think you can help this woman...
",36,skinny,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/doc/w4w/5478655880.html,washingtondc,doc,2016-03-06 00:40,2016-03-13 16:21,msr,w4w,Looking for long distance relationship. Fems ONLY,"
First off if you're not into studs then don't proceed reading. I'm originally from Newark but I moved years ago and now I reside in North Carolina. It will be while before I return home b/c I have school to take care of. I gotta admit I miss home and nothing compares to the fems in Jersey/NY/D.C/PA... I'm eventually going to move back up there once I graduate. In the meantime I'm looking to build a long distance relationship. I've done it before. I'm mad loyal, faithful, and honest. I expect you to be too. A lil bout me I'm 5'6, AA 22 outgoing, love to dance, movie junkie, adventurous/love to travel, and all around family person... There's more to get to know so hmu if you're interested. Tell me about you as well and attach a pic and I'll also send one in return.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/doc/w4w/5478657139.html,washingtondc,doc,2016-03-06 00:42,2016-03-13 16:21,msr,w4w,Looking for long distance relationship. Fems ONLY,"
First off if you're not into studs then don't proceed reading. I'm originally from Newark but I moved years ago and now I reside in North Carolina. It will be while before I return home b/c I have school to take care of. I gotta admit I miss home and nothing compares to the fems in Jersey/NY/D.C/PA... I'm eventually going to move back up there once I graduate. In the meantime I'm looking to build a long distance relationship. I've done it before. I'm mad loyal, faithful, and honest. I expect you to be too. A lil bout me I'm 5'6, AA 22 outgoing, love to dance, movie junkie, adventurous/love to travel, and all around family person... There's more to get to know so hmu if you're interested. Tell me about you as well and attach a pic and I'll also send one in return.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/doc/w4w/5489556232.html,washingtondc,doc,2016-03-13 16:10,2016-03-13 16:10,msr,w4w,Seeking Submissive Femme,"
Good afternoon,

I'm seeking a single, lesbian or bi discreet submissive femme. I'm open to race and ask that you be between the ages of 25-30, will do older, but prefer the ages stated. Please be open minded and ready to be submissive. If you're interested, please respond with a picture and put ""pet"" in the title.

I'm looking for a woman that is open to a sexual, as well as a discreet relationship. I'm into mental and sexual submission.
",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/w4w/5489522806.html,washingtondc,nva,2016-03-13 15:46,2016-03-13 15:46,msr,w4w,Female seeking friends,"
I am a bi married female 

I am over 40 seeking....
My wishlist is 35 and up

Lets get to:
shopping, phone chat, movies, travel around the area, taking walks, exercise and for hanging out.

I would love to meet other professional women in the area.

Preferred Northern Va or DC metro area.

It is a must that we...Voice Verify
",,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://washingtondc.craigslist.org/doc/w4w/5489260970.html,washingtondc,doc,2016-03-13 12:37,2016-03-13 12:50,msr,w4w,Soft Stud/Stem,"
I live in Orlando, fl and putting my feelers out there. I am hoping to meet someone outside the small circle of Orlando. I am interested in meeting a soft stud or stem if you are into labels. Someone that is drug free, educated, independent and does not mind travelling..... a bit about me, I am independent, own my home etc. I am hoping that I can meet someone that i am attracted to, someone that is spiritual, positive and all the good stuff.....your pic gets mine
",39,average,,,,,,,,,,,," 5'3"" (160cm)",,,,,,,,,,,,,,single,,
