url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://washingtondc.craigslist.org/nva/msr/5490393575.html,washingtondc,nva,2016-03-14 10:18,2016-03-14 12:05,msr,m4w,The Joys of Tantric Healing for Women,"
I have studied tantra and tantric technique for a number of years and have begun my own healing practice. I am looking for a woman who will help me practice massage technique, energy movement and give me feedback as I work with her. This will involve a certain level of intimacy so I am looking for someone open-minded, intelligent, in good physical condition and in touch with her own body. What can you expect? Well i know it sounds rough but you will be subjected to deep tissue and tantric massage techniques and well as profound relaxation and sensual stimulation.

In essence you get a free tantric healing and what you give to me is feedback on energy flow, your level of relaxation and how the session moved you. Sound appealing? Give me a shout and let's set up a time to meet.



I would appreciate a photo and a brief description of any experience you may have in the sensual arts. Also, please change the subject line to ""Tantra"" to filter out Spammers and BOT.
",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/doc/msr/5483297096.html,washingtondc,doc,2016-03-09 07:13,2016-03-14 10:21,msr,m4m,Good black dude looking for the same,"
Good black dude looking for the same.. 6'4, 285 easy going 42 year old. Not into sex with strangers, top type, non smoking looking for the same.. Hit me up if you like exploring the world, you are employed, non smoking, ready to meet, and not focused on sending or receiving a picture (I won't send one ... looks are important but I try for a balanced life). Mostly retired former athlete with a sense of humor and not caught up or interested (at all) in the 'lifestyle', fem stuff etc... more interested in getting to know someone who is interested in getting to know me. Into masculine behaving guys only. I am an independent thinker. Approach me under the assumption that I will highly respect you while both loving and respecting myself!

If you are mostly interested in texting, phone calls but not meeting up.. I honestly wish you well but I'm not interested - I am interested in meeting a fully functioning single brotha who can take care of himself (I won't fund anyone at all, sorry). Little time will be spent going back and forth on email. This is an opportunity for something different, something good... so, if you're SINGLE (fully), have good convo skills, a great attitude, you are not focused on sex, you're not overly focused on ""looks"" (gaydom), or BS (you weren't raised right)... & you fit the rest of what's here ... let's talk bruh!!! (I'll respond if you send a brief intro, description (at least race, height, weight and age) and please no smokers (unless you're about to completely quit).

I have found that a lot of married/bored people will use email to entertain themselves and then they will say ""I'm not really ready to share my phone number"" - that because they never really intend to. I won't fall for it. HMU if you're ready to stop with the B.S. My life has little to no B.S. stuff in it. This is an opportunity for something different, something good. I'm not interested in talking to people who believe that their body is more important than their brain - WE WILL NOT GET ALONG! (I don't understand that about many gay dudes)

(I added this after getting a few responses from people: My brothers, I know you are under stress to find the best ""looking"" person you can find (it's part of how many ppl are raised), but asking me about a pic or thinking you can get one out of me is a waste of your precious keystrokes :) However, if you ask me about a pic, you WILL STILL be treated with respect. Also note that little time will be spent going back and forth on email.

Peace!
",42,big,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/msr/5482108256.html,washingtondc,nva,2016-03-08 11:57,2016-03-14 10:07,msr,m4m,pain is pleasure in arlington (Gut Punching),"
It is a really erotic way to endure some pleasureful pain. That is what I am into and what turns me on. Ask me more if you want to know. Looking for skinny (or fit), smooth twink boys with abs for now.

I am looking for skinny/fit twink boys for gut-punching sessions at a place in Arlington (I work in Crystal City). I don't have much time, but if your in the area, I know a place we can go to for about 20-30 minutes or so. Ideal boy is skinny with a tight washboard stomach and naturally smooth body. Asian, Latino and Black boys are a plus. If your up for something freaky, HMU. These are my fetishes: gut punching a boy to orgasm and tighty whitey briefs/speedos.
",,average,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/msr/5447577936.html,washingtondc,nva,2016-02-14 11:38,2016-03-14 09:34,msr,m4w,Seeking female bondage partner,"
Does the thought of being tied up turn you on? Do you wonder what it would be like to have your hands tied together out of the way behind your back and have your body played with while you're tied up and helpless? Do you fantasize about being restrained and unable to protect your erogenous zones? If so, perhaps I can help. I'm a fit older man who looks younger and who knows the ropes. I'm not looking for a long-term relationship, just someone who would enjoy being tied up and teased. I'm gentle and considerate, but I do like to be in control. If you try me, you'll be bound to enjoy me! Tell me about yourself and your bondage fantasies.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/mld/msr/5465107000.html,washingtondc,mld,2016-02-26 00:01,2016-03-14 08:10,msr,m4w,Pussy Eater here for local only,"
I'm in to eating pussy eat your ass fingering and sucking breast only if thats you and can host or do it in your car lol contact me
I am looking around Gaithersburg Rockville or Germantown areas only I'm free tomorrow and rest of the week please be real KIK me at DRCslim im open to any females no matter age race and body too im black african american here slim 24
",24,skinny,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://washingtondc.craigslist.org/nva/msr/5490233718.html,washingtondc,nva,2016-03-14 07:33,2016-03-14 08:05,msr,m4w,Discreet. Attentive. Ongoing. Uncomplicated,"
Discreet. Attentive. Ongoing. Uncomplicated. 

Do these words reflect the type of connection you are looking for?

For whatever reasons, you are here on CL looking for some intimate companionship. A married woman who has gone too long without at home. Or a single or divorced woman whose busy and full life does not have room for a ""relationship"". Or you're just not ready for the ""relationship"" yet, but you want the intimacy and the sex that you are missing.

Maybe you have just been doing without--keeping busy with so many other things. Or keeping the vibrator busy. But feeling that you are missing the touch, the contact, the interaction, of being with an attentive lover. You look around and feel that desire to have a lover in your life.


Discreet.

Yes, I am married. Realized long ago that the sexual part of our lives is not happening, and that I had to go without, or look elsewhere. Sex was not the reason to get married; nor (I believe) is it the reason to divorce. But in this point in my life, I feel the need for sexual contact and a connection more than ever.

So there are limitations on when we can get together. You have limitations too. We work this out. For me, midday on weekdays are good; sometimes after work.. But not evenings or nights.

Attentive.

I can be your confidant and very intimate friend. We are able to discuss things that you can't with anyone else, because your relationship with others is based on other things. We have the freedom of being totally open with each other.

Also, I am interested in you. I want to feel a good connection to the woman I am being intimate with.

And as a lover, I want to make you feel good. To indulge your desires. I enjoy foreplay, afterplay, in-between play. Kissing, touching, massaging, oral. As an ongoing, exclusive affair, this is your opportunity to open up with a caring, nonjudgmental partner.

I would characterize myself as a gentle lover. But that doesn't mean that the action can't get quite physical and sweaty. I enjoy your orgasm also.

Uncomplicated.

If we get to the point of emailing, talking, and eventually meeting, that is no guarantee that the chemistry is right for us to actually start an affair. If the chemistry isn't there, no worries. That's life. I won't hassle you. We both understand that.

Our rules of engagement include that we are not looking to change each other's situation, just to fulfill something we are both wanting. And that if life changes come up that make ending the best course (for either of us) then that is what we do. 

I am not looking for a one-time thing, but a long term, ongoing affair/discreet romance.

I understand that physical attraction factors in. My basic info is that I am a white male; tall; hwp--workout regularly, but would like to drop a few more pounds; brown hair, blue eyes. I have been told I am goodlooking, but people have their preferences, and I don't begrudge that. Lowkey temperament. DDf and vasectomy safe, but OK with limits.

Prefer the Sterling/Herndon/ Reston area or closeby. Want to meet weekdays midday. Sometimes after work. 

More details and pic to serious responders. Please tell me a bit about yourself. Ask questions you might have or need to know. Maybe we can be very good for each other.

When you respond, please include something about you, where you are located, and what you would like this to be. If you can't write that, I'll assume you are a fake reply, or not literate enough to be interesting.

I hope to hear from you.

",52,average,,,,,,,,,,,," 6'3"" (190cm)",,,,,,,,,,,,,,married,,
http://washingtondc.craigslist.org/doc/msr/5490230195.html,washingtondc,doc,2016-03-14 07:25,2016-03-14 07:42,msr,m4m,FWB,"
42/w/m in search of older 45+ dominate top who might have odd jobs that need done and maybe some fun on the side. I'm a hopeless romantic I suppose. I am single, no kids and I'm an electrician by trade and I have a job. I enjoy a drink now and then and I'm 420 friendly and would like to try poppers. I am skilled in all levels of home repair. Basically, I'm looking for a FWB situation. I work a full time job in Martinsburg, WV so weekends and perhaps some weekdays I can be available. I enjoy movies, cuddling, swimming and basketball. Race is of no importance however age is; I simply like older men. If I sound like something you need hmu with pics and stats. I have more pics just wanted to post a couple. Have a nice day.😀👅
",42,average,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,single,,
http://washingtondc.craigslist.org/doc/msr/5453458940.html,washingtondc,doc,2016-02-18 10:52,2016-03-14 06:52,msr,m4w,Seeking an inexperienced younger woman with a playful imagination,"
You're a bright young woman with a sweet, demure personality who has always been very shy around men. You sit quietly in the coffee shop with your laptop or your textbook, hardly daring to make eye contact with the handsome older men who keep glancing at you as they notice the way the late afternoon sun creates subtle highlights in your soft hair. You pretend that you don't notice their attention. You pretend that you are not interested. But deep inside, your mind wanders as you wonder what it would be like if you were one of those silly, flirty, girls who always seem so confident around men. What would it be like if one of those men actually approached you and sat down at your table? What would it be like if he began to talk to you and you could actually think of interesting, witty replies to his subtle yet suggestive questions and comments? What would you do if you lost all sense of time and after an hour he suddenly touched you on the arm and whispered into your ear that he wanted to take you home with him?

But alas, you are alone at your table; no man has approached you, and it's getting late. You might as well be heading home. You pack up your things and step out into the bustle of the early evening city sidewalk.

Later that evening, sitting in the quiet of your bedroom, you close your eyes and imagine, as you have many times before, how it would feel to let an experienced man him have his way with you. In your mind, this man is always intelligent, dapper, well-educated, and professionally-successful. But he is also fit, attractive, and assertive; and he knows exactly what he wants. You wonder what it would feel like to have him push you up against a wall and kiss you passionately while his hands roam freely over your body. You imagine him to be the kind of man that you would never be able to take home to your parents. Perhaps he has a ring on his finger, but he has singled you out as his secret lover; and you surprise yourself by admitting that you like it that way. You like the idea of being his secret little toy, and you like to imagine cuddling up against him and burying your head against his chest and telling him all of your fantasies, even the ones that are so very very wrong...

I'm in my forties, a college instructor by profession. If you like what I've written, I have a feeling I would enjoy being your personal teacher. I require absolute secrecy and discretion, but I think you can handle it. Let's meet for a cup of tea or coffee and see what transpires.

[Please note, if you are underage or if you are expecting favors or other compensation, you have misunderstood my intent and should not respond to this post.]
",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/msr/5462925784.html,washingtondc,nva,2016-02-24 15:01,2016-03-14 04:25,msr,m4w,Married WM ISO Indian or Middle Eastern female,"
Wife and I decided to see other people so trying on here to see what happens. 

I am 5'10, 150 with dark hair ISO an Indian or Middle Eastern female as a side relationship. This is NOT an ad for a one night stand. 

Face pics for face pics. 
",32,athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/mld/msr/5490082948.html,washingtondc,mld,2016-03-14 00:22,2016-03-14 02:19,msr,mm4w,Fulfill Your Fantasy!!,"
PLEASE DO NOT REPLY IF YOU'RE NOT READY TO VOICE VERIFY!!! THANKS!

Three Straight Alpha black males Seek Single or Married Females,who are interested in fulfilling their fantasy of being with two or three guys. Race Not Important. For a Quick Response, Forward Name and Number, and Face Pic. Put the word ""Fantasy"" as subject in your Email if you're real. All Contacts are Subjected to Voice-Verify
",34,athletic,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
http://washingtondc.craigslist.org/nva/msr/5490102817.html,washingtondc,nva,2016-03-14 00:55,2016-03-14 01:49,msr,t4m,"TG for fit, masculine man for dating/LTR","
I'm a passable TG, looking for a boyfriend/LTR if anyone is interested in dating. Ask about pics before sending yours, I don't want an inbox full of photos of people I don't want to give mine too.

What I'm looking for:
- I like gentlemen, the kind of guys who treat me well and try to have fun no matter where we are. Romantic gestures are very sweet and will definitely get you points. But don't be to sappy. I don't want to cuddle, I'm not a little girl.
- Overall I strongly prefer white or black men. Also I'm not into anyone too much older than me, so 35 is my hard limit. 
- Please be masculine and dominant, no bottoms or pretty boys. No attached men either, obviously.
- Having a big dick (8 inches+) is important, but not a deal breaker. If you're not hung having a lot of money helps.
- If your attractive to me and I like talking to you we can start going out. From there things will go where they do.
- If I meet the right man I want to settle down. I've had my wild youth already, time for a long term relationship. Marriage eventually if he's the one.

About me:
- I suppose I'm an old-fashioned kinda girl, domestic housewife with a slutty side. None of that feminist crap. If my man/boyfriend/husband would rather me stay at home that's fine as long as he's good to me. I'm obedient and respectful. I can look class when I need to but at home I let loose.
- A bit on the alternative side, but I can wear a dress for a night out. I like video games and TV. I'm pretty simple. Also very good at sex, haha. Not into BDSM but other than that I like to be used like a sex doll.
- What would it be like to be with me day to day? I'd keep your house/apartment clean, wear a cocktail dress at parties, get a six-pack for you during the big game, help you relieve stress after a long day at work.
- Some may find that sexist, but I'm a big believer in traditional gender roles. Men and woman contribute in different ways. Obviously since I'm trans I don't think these roles are tied to biological sex. But if you're a woman you should be a woman. If your man's making the money, you should have a spotless home, a meal ready and a smile on your face. If he treats you right, you should be on your knees every night. Fair is fair.
- I'll admit I'm kind of a dummy. I've had to have a friend help right all this. If you value intelligence, sorry but I'm basically a bimbo. But if you want a girl who'll shut up and not get ideas in her head, well I don't really have any to begin with haha.
- If you're looking for a 'Lady in public, cook in the kitchen, maid in the living room, porn star in the bedroom' type then that's me.
",22,thin,,,,,,,,blue,,,"shoulder length, red"," 5'8"" (172cm)",,,,,,,,,,,,,,,,
