url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://chicago.craigslist.org/chc/w4m/5483064367.html,chicago,chc,2016-03-08 21:25,2016-03-08 21:25,msr,w4m,Latina with magical hands to sooth,"

UNWIND, RELAX, let me pamper you from HEAD TO TOE
Work has you tensed, CURVY, Latina to melt it all away
**TENSION in neck,
**Achey back
**Legs sore. .
I ONLY go over and TEND to those issues...
Safe, reliable, ONE HR:: ONE BEN.......
MASAJE solo en tu domecilio, NO en MI casa, ni local. Una Hora, sien Dls.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/w4m/5483027615.html,chicago,chc,2016-03-08 20:47,2016-03-08 21:13,msr,w4m,LTR AT A SLOOOOOWWW PACE,"
I haven't a clue where to even start here. I'll start with a little background about myself. I am just getting out of a long relationship that has been over for about the last 2 years, yet we both just grew cajones and finally said it was over! Through out that relationship I was awful. Not always,but in the end. I cheated. I don't think that's respectful , but I wasn't in a good place. Questioned alot about myself and what I wanted from life. Went through a million phases and types of people I'd like to be with .(and no, when I say a million phases I don't Mean I slept with a million people) Now, I think I know what I want. First, I want a man. Lol. That's a good start. I've only dated white, but at this point I'd be open ( I am black) to any race. Must be single. I've had my share of sneaking around with people attached and doing so myself. I want things to be easy, and honest. I will admit I'm scared for many reasons. ..one big one-karma. This is why I want to take things slow. I have my own inflicted trust issues . Hahaha. No, the real reason is I'm not ready for commitment, but I do want companionship with future possibilities of such. Anyways, back to the type of guy I'm looking for. 
Normal
Not a psycho 
Gentle with my heart...rough with everything else
I don't care if you're blue collar or white collar. I'm used to white collar, but now I'm open
Be over 32. 
Enjoy laughing, bc I'm as silly as they are gonna come. Don't worry I know how to turn it off. I won't make a joke at a funeral(I hope. Lol)
Please please please be capable of having a convo. 
About me
AA
Mom
Fun
Not a super model but I'm pretty enough to be hit on atleast once a day. 
Live in the city
Please send pic with response and something about yourself 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/sox/w4m/5482896656.html,chicago,sox,2016-03-08 18:52,2016-03-08 20:53,msr,w4m,!!!....5 Months P__ R ..R__E .G&&&....!!!,"

I,m 30and 5 months pregnant and am extremely horny. I'm looking for someone to hook up with a few times a week. I am a white female with a decent body. 
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/sox/w4m/5482982915.html,chicago,sox,2016-03-08 20:05,2016-03-08 20:52,msr,w4m,Any real men out there??,"
Let me start of by saying, please don't respond if your looking for a quick release or one night stand. I am a woman who has their act together and doesn't want to play games. I tried dating and failed misreably. To many men want sex only. I am looking for long term, a best friend and lover. I am 33 years old. I am 5'8"" around 200lbs. I am by no means ""skinny"" but I do hold my weight well. I want a straight up man who wants to settle down, have a family and be life partners. If your not into games and are seriously looking for a relationship. Message me. I love the outdoors, adventures, watching movies, and I am very affectionate. I hate fancy things and fooffy things, I don't like spending a lot of money cause money is nothing to me it's evil. So if your interested message me with a pic. Open to all races.
",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/nwi/w4m/5482915937.html,chicago,nwi,2016-03-08 19:08,2016-03-08 20:49,msr,w4m,UNHAPPY BBW(((100% SEX)))) CAT((((SINGLE MoM)))) Want(((((Doggy sty,"
Hi........../

I'm in need of a guy who knows how to fuck. Age race body type doesn't matter in fact I've been wanting to fuck an older man 

for a while.I'm a 22 yr old white girl chubby not at all fat with big DD titties and I love to get titty fucked. My favorite 

position is doggy style.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/nwc/w4m/5482970313.html,chicago,nwc,2016-03-08 19:54,2016-03-08 20:30,msr,w4m,Nice and smart guy is needed,"
If you are white, single, educated, gym fan, kind and attractive, in your 40s or older - reply. Similar is looking for similar.
",43,athletic,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,divorced,,
http://chicago.craigslist.org/wcl/w4m/5482904078.html,chicago,wcl,2016-03-08 18:58,2016-03-08 20:06,msr,w4m,I 'm 23 years old but very sexy,"


Hey,


I 'm 23 years old but very sexy and hot so age don't matter. I like oral pleasure & adore to suck. I can Host.
E mail me & send me number. We cann exchange pics but I need to get fucked, so no junk.Please... text me.........?
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/nwi/w4m/5482864828.html,chicago,nwi,2016-03-08 18:27,2016-03-08 19:43,msr,w4m,Horny and soaking wet,"
Hi.........?


Horny and soaking wet for a big, hard cock. If interested send me a pic and reply ""I want you now"" so I know you are not a robot, and I will send you some of my pics.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/w4m/5482801724.html,chicago,chc,2016-03-08 17:39,2016-03-08 19:20,msr,w4m,(KITTY CAT)...Kik...fun....33y/o,"


33 y/o new to the area and looking to get to know someone and have fun...possibly a fwb...lets start on kik and see where it goes...send ur username and ill send u ph no plz
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/nch/w4m/5482912694.html,chicago,nch,2016-03-08 19:05,2016-03-08 19:05,msr,w4m,lets do something out of the norm,"
I am feeling naughty this week. Maybe the weather change reminds me of summer fun or what, but I have been turned on and want to try something fun.

I am up for trying stuff in different places or in the house. I am pretty open. If you are up for fooling around outside the home, parking lot, a store, restaurant ( under the table to start), bathroom somewhere maybe, driving, a park, anywhere outside the house, then email me and lets see if we have a similar interest. I want to try something this week.

Prefer guys under 38.
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
