url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://chicago.craigslist.org/chc/msr/5469795017.html,chicago,chc,2016-02-29 09:45,2016-03-08 22:05,msr,m4w,open minded woman,"
Good morning! A little about myself....I'm a pretty cool laid back guy. I work a nice 9 to 5 job. I have a car, and I live off the lake front. I love people, I love going out, and I enjoy the little things in life! I'm looking for a woman(not a girl). Yes this wil involve Dinner dates, going out, and sex. Actually lots of it lbvs. But there will be chemistry there. I prefer someone bi, orally giving and receiving. Also, I from time to time, I host or attend group sessions where we swap partners or we run trains on each other. Yes that's why you need to be freaky and open minded. This is for sane, ddf, non Judgemental ppl who enjoy life and who can be cool and have fun. I'm looking for a woman who wants to add a new friend in there life and have some fun to!! If you feel you can do this, and we can all be adults about it, feel free to reply for details. I promise, you will enjoy yourself!! I'm open to race and age. I'm. In my mid 20's and a handsome young hung African American!
",26,fit,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/msr/5460379338.html,chicago,chc,2016-02-22 21:06,2016-03-08 21:59,msr,m4w,Do You Also Have a High Sex Drive,"
I'm a white Gentleman searching for one select lady for an ongoing friendship for fun times together in and out of the bedroom. I am attached but my needs are not being fulfilled. I am seeking a lady in the same type of situation. I want something ongoing, not just a one night stand. I am open to age, race, etc. But I do demand that you be clean, drug & disease free and discreet. Let's enjoy the fall together.
",55,average,,,,,,,,,,,,,,,,,,,,,,,,,,partnered,,
http://chicago.craigslist.org/wcl/msr/5483059830.html,chicago,wcl,2016-03-08 21:20,2016-03-08 21:20,msr,m4w,Looking for a flirty and playful activity partner,"
I am looking for a woman that wants to actually go out and do things, try new places or activities and have fun. I also am looking for a woman that likes to take every chance she can to be flirty, touchy or playful. I am not looking for the typical CL hookup of you coming to my place and we hook up....then what....awkward and weird. I am very out going and flirty and playful with the right person as well. I don't want it to be the main point of us going out, but we can have fun with it. I am not ruling anything out and I'm sure over time, we will both want more and that is cool.
I am single, I am tall, I am in good shape, I am attractive and I am real
Looking for a woman of any age, hopefully cute or attractive, nice if you were in shape and look hot in a skirt
Lets make this whatever we want it to be
",38,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/wcl/msr/5482961447.html,chicago,wcl,2016-03-08 19:46,2016-03-08 20:34,msr,m4m,Looking for ONE person for a happy LTR,"
A little about me...

My name is Brian and I am 44. I am five foot eight, 165 pounds... brown hair and eyes. I am Jewish, if that matters to you. I'm out, but I don't make a big deal about being gay in public. It's not something I'm ashamed of, just haven't been an issue for me. I have dated a few guys in the past, and have been in one long-term relationship for 2 1/2 years. I know what I want, and hope to find someone special to share the rest of my life with. I'm not looking for a hookup, so if you are just looking for sex, please do not reply. I know there must be at least one person out there that wants to find someone to spend their life with.

I love to cuddle, make out, and hold someone. I am str8 acting, but that does not mean I don't enjoy holding hands in the car with someone special, if the feeling is right. I love falling asleep with my arm around my love, or with his arm around me. I love being close, and that does not necessarily mean sexual, just close. I also enjoy giving back, neck, and shoulder massages, even foot rubs... I like making my guy feel special. 

Distance between us
Let me start by saying I live in Bolingbrook...and if you are going to judge me by how far we live from each other, and not get to know me, please stop reading. I'm not looking for Mr. Right Now, I'm looking to find someone I can spend the rest of my life with. Mr Right may not be your next-door neighbor... but I'm willing to travel a bit if I find him, and I hope he would do the same for me. Trying to find a match typically does not mean a neighbor, that would be a friend with benefits. I want the kind of guy that's glad to talk on the phone, happy to see each other after being apart, and interested in spending non-sexual time together.

What I do for a Living
I have my own business. I am a computer tech, and I sell items on-line. I love custom building computers, virus/spyware removal, and anything really that deals with computers. I love what I do... and it does keep me busy and pays my bills. I can flex my schedule, and spend time with someone special. November through January, I am usually very busy with my on-line sales, but I have no problems making time for someone. Just because I work a lot and love what I do, it does not mean I can't make time for someone special. I will gladly change my hours to accommodate.

For people interested in sex...
I am not looking for sex or to hook up, I am looking for a partner in life. If I find someone special, someone who wants to get to know me for me and start a relationship, here is a little about me. I can be a very sexual and intimate person when it comes to making love, more than once a day is more than possible. With someone I love, I can be versatile, as I feel if you love someone, you make love to him, and you don't just have sex. It's not about sex, it's about the time you spend together, intimately, even cuddling or sleeping. I also don't like routines, as making love should have no routine. It need not matter what a couple does when intimate, if they love each other. Planned routines get boring and stale. I have just as much enjoyment falling asleep with my arm around him or his arm around me, as I do making love. I want a guy with a heart of gold, as I've been told I have. 

Now, to elaborate, I am not looking to meet someone and have a sexual relationship or friendship. I would like to find someone who wants to get to know me for me, and vice versa. I would like to find someone that would not mind cuddling, making out, watching television or movies in each others arms, even going to bed together with our arms around each other. But, this does not mean I am looking to have sex when I meet someone. Sex is a powerful way to show someone how much you love them, but too many gay men have sex and think its love. Sex is a product of your love, not a reason for it.

What do I like doing?
I love movies, music, bowling, tennis, racquetball, computers, video games, cooking, dining out, hanging with friends, staying in with someone special. As far as movies, I like comedies, science fiction, action/adventure. As far as music, I like Tears For Fears, Styx, The Monkees, Savage Garden, Erasure, Def Leppard, new country, 80's music.... I can also get into other kinds of music, I'm not closed minded. I do like plays and musicals, but haven't made as much time to go as I would like. I'm really not much of a bar person... not that I don't go to bars, but it's not my thing. I wouldn't mind going to a bar with someone special and have a few drinks, but I'm not one for ""showing off"" that I found someone special. 

I am open to new experiences. Age is just a number... it's not your age that's important; it's how you spend your time together. I may have experienced something before, but when you experience it as a couple, it may have a whole new meaning. :)

What am I looking for?
I am looking for a guy typically younger than me... as I seem to get along best with guys younger than me. I like guys who are in decent/average shape, and clean-shaven. Not a requirement, but I would not mind finding someone shorter than me, but I am not going for looks, I am going for a match here, a true relationship. I don't use drugs, and hope he doesn't either... and I hope he is a non-smoker, but I can deal with it if he smokes or is quitting. I would like to find a man who takes care of himself, and cares about what he looks like. I would love to find another computer guy, or a man that doesn't mind that I sell video games and electronics on-line. It would be nice to have a few things in common other than sex! :-P

I would like to find someone who is educated, and who has a decent job... something he enjoys. I don't care how much you make; as long as you enjoy what you do for a living. I know people do work odd hours at times, but the time you spend together is what's important. I am more than willing to make time for someone special. 

One thing that is very important to me is communication. For any successful relationship, both men need to be able to communicate with each other. I know relationships can be difficult, and problems can arise, but I would like a man who is not afraid to communicate. Communication is the key for business, friendships, and relationships. Even if an issue arises, talk about it! A guy who's willing to chat and communicate instead of and a relationship to avoid confrontation would be ideal.

Like I said, I'm not looking for a hookup here... so if you are looking for sex, or a casual BF, or even a friend with benefits, please do not reply. I am hoping to find someone that wants to spend a long time together, and be a monogamous couple. I might not want to have sex with anyone for some time... as I want to get to know and trust someone first (but that can change depending on how the relationship develops). 


Thank you for reading my post.
Brian
",45,average,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/wcl/msr/5458690134.html,chicago,wcl,2016-02-21 19:51,2016-03-08 20:32,msr,m4w,"Looking for a ""special"" Movie partner","
I am looking for a woman that enjoys going to movies, comedy clubs or shows of any sort and also enjoys the touching, playing and teasing that can make them much more fun. I love sitting back any having my cock rubbed during a movie and also enjoy playing with a woman, rubbing her arm, stroking her hair, massaging any part. We can talk about what the other wants and go from there. We can also set limits on anything else...making out, car play, play in a bar after, etc. My end game is not trying to have sex, it is whatever we decide we want it to be. Age really isn't a factor, but an open mind and decent body is
",38,fit,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/wcl/msr/5442633958.html,chicago,wcl,2016-02-10 17:56,2016-03-08 20:28,msr,m4m,"any other bi married guys want to become friends, introduce our wives?","
We haven't done more that watched and been watched before, and she's kissed and touched other women. She won't eat pussy but she loves hers eaten! And she know that I'm bi, but she doesn't want to meet anyone through anything online, so that's why you and I have to become friends first.
We're health conscious, non smokers, decent looking but not models, and we hope we're not as pretentious and Naperville seems to have a reputation for.
Who are you, what's your situation? Are you bi, married, age, etc?
",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/nch/msr/5479220908.html,chicago,nch,2016-03-06 12:44,2016-03-08 20:21,msr,m4w,mature exhibitionist,"
I would like to chat with a woman who enjoys club sex, adult cinema, voyeurism, exhibitionism, and cam to cam masturbation. Mature woman preferred.
",55,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,married,,
http://chicago.craigslist.org/nwi/msr/5461741481.html,chicago,nwi,2016-02-23 17:56,2016-03-08 20:21,msr,,Couple looking for a BI Fem,"


© craigslist - Map data © OpenStreetMap

(google map)

Her...
BBW
5'6""
42E tits
Pierced tongue
Shaved kitty

Him...
5'11""
Shaved head
Nips pierced
7.5-8"" member
Shaved below as well

We have done this before. We are clean. Please be as well. We like to meet for dinner/drinks in public and see how we mesh. If we hit it off we will plan from there. Please don't waste our time if you aren't 100% into it. Be at least 25. Send pics to see pics.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/msr/5482939079.html,chicago,chc,2016-03-08 19:27,2016-03-08 20:10,msr,m4w,Big Guy With A Low Sex Drive,"
Just your college educated white guy with a big belly. Why am I being honest so you know what your getting with me. So tired of the b.s. If you prefer men with love handles who are also sensitive and funny and who will listen to what you say and actually remember what you tell me. I am white, 39, six feet and live right on the border of Elmhurst and Villa Park. Open on age, looks,height.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/msr/5447283165.html,chicago,chc,2016-02-14 00:53,2016-03-08 20:08,msr,m4w,White Gentleman seeking an AA Lady,"
I'm a mature white gentleman with an attraction for AA females. I am seeking a lady for an ongoing friendship/relationship. I enjoy most activities which we can share and explore together. Are you the lady I'm searching for? I am open to any age as long as you are mature, clean, drug & disease free.
",55,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,
