url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://sfbay.craigslist.org/sfc/w4m/5464983802.html,sfbay,sfc,2016-02-25 18:30,2016-02-25 19:59,msr,w4m,FFOORREIGNER,"
I have just moved to San Francisco and I don't have any friends here. I am single girl
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sfc/w4m/5465061673.html,sfbay,sfc,2016-02-25 19:58,2016-02-25 19:58,msr,w4m,Thursday Night Alternative,"
Hey! I've got a Thursday night vibe to do something, what about you? Want to meet up and have a drink? Anything fun happening in town tonight? I want to put on some tight pants, throw on some red lipstick, hang out and flirt a little! It's healthy to smile, laugh and enjoy life--let's do it together. What say you? 
I'm over 5' and under 6' - caramel complected - on the curvier side (not slender).
",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/nby/w4m/5465006317.html,sfbay,nby,2016-02-25 18:53,2016-02-25 19:56,msr,w4m,Single mom looking for single dad,"
Seeking a man who has it all. I would like to find my soul mate. He is my big teddy bear who can take care of me. Please be in this area. i am petite, sexy, shiny, lovely and a very good cook and home cleaner. 

Please send a pictrure and must like kids.
",40,curvy,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
http://sfbay.craigslist.org/sby/w4m/5465047102.html,sfbay,sby,2016-02-25 19:40,2016-02-25 19:56,msr,w4m,Seeking BBW from the past,"
Hello 
Your bartering post gets flagged before I could reply.

Please reply and I will help you .Thank you
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/nby/w4m/5465030861.html,sfbay,nby,2016-02-25 19:20,2016-02-25 19:54,msr,w4m,Looking for my rancher,"
Hi,

I'm in town for the weekend and would like to meet someone new. I don't live to far away and I'm not afraid to make changes for the right person. 

I'm looking for my hard working ranching or horseback ridding man I can share a life with. 

I was born in the south east of the U.S. on a cattle farm. I'm short, athletic curvy, with a great figure and a great personality. I love to ride and work the land. I also enjoy the simple things in life, like curling up watching the stars.

I'm in my early thirties, please be around the same. I also prefer my man taller than me, so please be over 5'10 with average to athletic build. 

I am looking for long term. Please described yourself or include a pic, which will get mine.
",,athletic,,,,sometimes,never,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://sfbay.craigslist.org/pen/w4m/5465046360.html,sfbay,pen,2016-02-25 19:39,2016-02-25 19:39,msr,w4m,26 looking for LTR,"
I am a 26 year old looking to settle down. I don't want just a fling. I want to have a night out or just stay home and watch a movie. I am over games and want to find my mr. Right not Mr right now.

Please send picture with your first email.
",26,athletic,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://sfbay.craigslist.org/eby/w4m/5465007790.html,sfbay,eby,2016-02-25 18:55,2016-02-25 19:37,msr,w4m,It's spring and love is in the air...,"
Ready for a new relationship? Perfect time of the year for a new beginning with a special man. Looking for ridiculous chemistry..... Too much to ask? I don't think so! I've lived in great cities in the US and in Europe and the Bay Area is hard to beat, even if dating poses a challenge. But I'm super positive, rather attractive, almost erudite, somewhat sarcastic, most certainly single, definitely slender, sweet and sexy, downright funny, always non smoking, and not seeking exactly the same.... But someone similar would be nice. :) Please be over 40. Your clear pic gets mine!
",,athletic,,,,,never,,Caucasian,green,,,,,,,,,,,,,,,,,,single,,
http://sfbay.craigslist.org/scz/w4m/5464997664.html,sfbay,scz,2016-02-25 18:44,2016-02-25 19:18,msr,w4m,Seeking white sub in Monterey or Santa Cruz counties only.,"
A Domme seeking a young white sub man for weekends encounters. Must be neatly groomed, drug/disease free. Oral skills. Must be between 21 to 40 for mother/son role. 
I'm 5'2; 38D; curvy; fit. 
PLEASE: you must live in Monterey or Santa Cruz counties and you must be able to host!
Send a pic for a reply. Thanks
",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/eby/w4m/5464999301.html,sfbay,eby,2016-02-25 18:46,2016-02-25 19:08,msr,w4m,the lucky one,"
tired of looking to be let down. anyone willing to date and get married by October 1st respond to my ad with ""marry me"" in subject line. include a picture and why I should pick you
",28,curvy,,,,,,,,,,,," 5'3"" (160cm)",,,,,,,,,,,,,,single,,
http://sfbay.craigslist.org/scz/w4m/5465012857.html,sfbay,scz,2016-02-25 19:00,2016-02-25 19:07,msr,w4m,Where are you?,"



Hello there! I'm a 51 year old woman. I'm in good shape easy on the eye, fun healthy and enjoy lots of laughter. I'm financially stable and looking to meet some new friends and perhaps possibly make a romantic connection ....

I'm looking for a fun outgoing honest down to earth adventurous soul that wants to play?
I love to hike, bike, camp, rock climb make great healthy meals take long walks explore surrounding areas especially in the spring! I like to spend time with family friends and fury creatures. I love travelling, sailing, walking, concerts and staying open to new experiences and anything that strikes my fancy. I'm looking for someone probably around my age give or take a few years, as well as someone that really enjoys the outdoors likes good conversations, is intelligent and definitely has a good sense of humor! I'm not much of a smoker nor drinker but do enjoy great wine an beer at times. I hope to find someone to spend quality time with.
I have kids.... and you might too, and really prefer someone that lives close but would consider out of the area not terribly far away. If I sound like someone you might be interested in send me pic and lets see if this goes anywhere.....All the best in your search for your other half......
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
