url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://sfbay.craigslist.org/scz/msr/5446835701.html,sfbay,scz,2016-02-13 13:58,2016-02-25 20:19,msr,m4w,older man seeks UCSC/Cabrillo undergrad,"
Welcome. Thanks for opening my ad.

You are already weird in a nice way since you're looking at Craigslist ads (yes, people really did used to meet this way!) in a most retro fashion. I'd have expected you to be glued to Facebook, Tinder, Instagram, or some other smartphone app, and not to have much time for old-fashioned words typed on a screen.

But, apart from your willingness to meet someone via CL, or at least be entertained by the ads (hopefully you are not just doing a research project), just how weird are you?

Namely, did you notice the ""51"" that was also part of my ad? Yes, I am more than twice your age. I suspect you didn't notice that, so there's your warning not to read further.

Indeed, I want a friendship, and hopefully sexual relationship, with someone ""scandalously"" younger. What can I say: I love Nabokov; I love being a teacher as well as a student, I'd like to find a muse or a mentor as well as being one; I think power disparities (youth and beauty vs. ""wisdom"") are fascinating; I think a relationship that is a conspiracy a deux and that everyone else in the world disapproves of is hot.

The odds of finding this are minimal, I know. But, I've corresponded enough with those your age to know there are girls who share the dream. Especially, for some reason, at UCSC. (There's something about slugs -- ha!) 

One or two I came close to meeting, but for those particular individuals I failed the looks test (damn digital cameras!). I think I'm not bad-looking, and I have a nice smile; I'm tall (6' 2 1/2"") and have blue eyes and shaggy brown hair. That said, you're dealing with a character actor, not a leading man, so to speak ...

I'm a writer, editor, and photographer, and most interested in hanging out with an artistic or musical girl. Scientists can be sexy too, and anyhow beggars like me can't be choosers, so just bring what you have.

I grew up almost friendless and being called queer throughout school. I didn't have any relationships at all until I was older than you are. Late bloomer. 

Now, I'm boringly hetero (though adventurous within that -- I don't like conventional sex roles and stereotypes) but certainly queer-friendly. I do have a bi woman friend who'd play with us both and is much closer to your age, but let's not get ahead of ourselves.

I madly love most types of music, though leaning more toward classical, trad jazz, some classic rock, lots of woman singer-songwriters, Sinatra and the rat pack. 

I like good beer and cocktails, plus single-malt whiskies, though at the moment I'm enduring a low carb diet (sigh). Good weed is an occasional pleasure, though a lot less than I used to. I'd also try molly -- or whatever they're calling it these days -- again if I knew it was legit. But, I'd rather enhance my life by looking at you and listening to your voice than via chemicals.

I'm not sure what to add, given that likely I'm whistling in the wind anyhow. But just in case I'm also whispering in your ear, well, I'll post this and perhaps refine it later.

I expect replies from the auto-spammers, as well as from the brigade of immature guys who like to pose as girls and fuck with people who dared to put their head up above the parapet and post something a little different. Sadly that's the way of CL these days.

So, no offense, but if you respond, I'll expect you to prove that you're really a girl by attaching some fresh photos that are real, not ripped from someone else's FB profile or whatever! Or, you can record a voice message for me and attach it to your message. Whatever you like.

If you'd like to make my heart leap happily, use the subject line ""It sounds like you might be describing me.""

Cheers!
",51,average,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sby/msr/5464999587.html,sfbay,sby,2016-02-25 18:46,2016-02-25 20:13,msr,w4m,Poly Latina Woman Seeks Poly White Man,"
Looking for a long term relationship with a polyamorous single or attached man. You must be ok with me being married, and most importantly have the time and desire to be my loving boyfriend with a very supportive partner if you have one. :) My husband is fully aware and supportive of my search as I am fully aware and supportive of his relationship with his wonderful girlfriend. I am currently not dating, but I would like to find someone to have a relationship with. Perhaps start as friends, unless the chemistry is so strong we go straight into the relationship! I would like to start meeting once a week, and if things progress well, maybe more often. I have the time, energy and desire to put into a loving, respectful healthy relationship outside my marriage. Now on to what I seek in my partner.

Where are you my nerdy, lovable lovey love love?

Are you nerdy, geeky, sweet, gentle, in your mid 30's to early 40's? There is so much to this kind of guy. Believe me, you are admired more than you know. I encourage you to please step up! So many of you on here, never posting, and a lot of times in fear of responding, how unfortunate. :( You guys are definitely the hottest guys around. Simply adorable! I just want to wrap my arms around you, hug you so tightly! Haha. Love and care for you with time (maybe sooner!) once our friendship has evolved into more...and all I ask in return, is for the same. :)

You: Poly, geeky, quiet (but not so when you are comfortable with the one you love!), cute in your own unique loving way, slender/slim athlete/average, light eyes, white male
Me: (Only going by what I have been told, btw) Cute, sexy, fun, warm, caring, loving, always smiling. I can be a bit shy but that special someone can easily break me out of that! latina, early 40's

Please describe yourself thoroughly, including age in order to get a response.

I truly believe that sharing is caring <3
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/nby/msr/5464983959.html,sfbay,nby,2016-02-25 18:30,2016-02-25 19:25,msr,m4w,Arrangement wanted.......,"
Hello and thank you in advance.
I am a mid 40ies intelligent, good looking, soft spoken and respectful guy with a positive and friendly disposition looking for fun encounters with a fun and friendly younger woman.
A mutually benificial arrangement for possibly weekly get togethers involving good food, good conversations, laughter and fulfillment.
If you are interested send a note, location and a photo or 2. 
",45,average,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,single,,
http://sfbay.craigslist.org/sfc/msr/5457416878.html,sfbay,sfc,2016-02-20 18:31,2016-02-25 18:46,msr,m4w,PLEASURES WITHOUT DRAMA,"
Fun, good company, wine, conversations, pleasure, sex without drama / issues, would't that be nice? Nothing too extreme just good old fashion shagging.
I am 47, fun, easy to talk to non smoker non stoner, desire nice company for times in and out of the bedroom.
Please be rather slender, curvy (Amy Schumer) not bigger, funny, mature over 32, you are not seeking sugar daddy. 
Respond with photo or accurate description and in subject line ""pleasure"" otherwise your message will be deleted without reading.
",47,hwp,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,♈ aries
http://sfbay.craigslist.org/sfc/msr/5464996719.html,sfbay,sfc,2016-02-25 18:43,2016-02-25 18:43,msr,m4w,I would like to meet a friendly Thai lady for a friendly relation,"
I am looking for a mature Thai lady who would be interested in a friend and partner type of relationship. I would like to share activities and maybe intimate times with you and see where that takes us. I am single and hwp and prefer that you are too. I am a tall and fit, educated swm. I enjoy the activities and sights the bay area offers.I would like you to be in or close to the city. I have a love of nature and the many activities there. I enjoy the many performing arts available in the Bay Area. I am family oriented and live by the golden rule. Please drop me a note if you are interested and tell me the activities you enjoy, a little about yourself, and a photo or description. We can talk and discuss our similar likes and dislikes.
",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/eby/msr/5464847417.html,sfbay,eby,2016-02-25 16:26,2016-02-25 17:37,msr,m4w,Befuddled,"
You are a happily married woman and you want more. You are considered very attractive and you get a fair amount of attention and you want more. HWP The more you desire is the something you don't have because You are submissive and enjoy that part of your psyche to feel very sensual and passionate. That is the slice of your life that isn't fed nor satisfied. Reading books, watching movies and videos really aren't the same as actually feeling. Imagining that feeling is no fun. You want something that the slice in your life doesn't get nor has safe access to. You know what to do next.
",59,athletic,,,,sometimes,never,above higher,,,,,,,never +,,,,,,,"fun, interested, curious",,,,,never,,,
http://sfbay.craigslist.org/eby/msr/5447731139.html,sfbay,eby,2016-02-14 10:34,2016-02-25 16:42,msr,m4w,Are you also looking for a regular passionate lover?,"
Hi & thanks for reading, I'm a 48yo British guy with charming accent & manners who is looking for a (hopefully) regular lover.

I'm not really looking for an LTR at the moment (but not opposed to one!), but I do early miss the intimate company of a sexy woman. I miss the scent and laughter as we cuddle and chat before retiring to bed for intensely passionate (and safe) sex. I also miss a woman's company and conversation for dinners in and out or other adventures outside the bedroom together. One night stands have their place but I firmly believe that truly great sex only comes (pun intended) with a certain level of comfort and familiarity between partners. As such, I'm looking for a like minded woman to get together with somewhat regularly and enjoy each other's company. I'm 5'7"", 150lbs, in great shape physically, mentally & emotionally and have a nice above average package for our mutual pleasure. I'm in a private house in the N. East Bay and I seem to be exceptionally horny today & most days for that matter!

I'm not overly concerned about your relationship status although being also single would give us more flexibility for getting together & sleepovers - nothing starts the day off better than some morning nookie! However, I can also maintain the utmost discretion if required.

Let me know if you're interested and I'd be happy to send a picture and share more.

Thanks
",48,fit,,,,,,,,,,,,,,,,,,,,,,,,,,divorced,,
http://sfbay.craigslist.org/eby/msr/5464839422.html,sfbay,eby,2016-02-25 16:20,2016-02-25 16:35,msr,m4w,Seeking Dom Female Master,"
You are a woman and in need of a manslave to worship you. You are Pillow Princess type who likes to lay back and receive the pleasure you want - what every you ask for..... 

Massage your feet after a hard day at work, massage your whole body after you get done with your workout, .... I am a good slave, do what I am told and committed to your pleasure -- submissive male seeking female master. 

I am white// 50 YO // 6' // average build // strong // clean-cut short hair professional type....... 

You: dominant minded female. age, race open. Ping me and let me know what you are seeking and I will send pic.... 
......@@@@@,,,,,,,:):)
",50,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/eby/msr/5449129540.html,sfbay,eby,2016-02-15 11:02,2016-02-25 16:30,msr,mw4t,Sexy couple interested in threesome with a trans woman,"
We are busy sexy mature professionals in a very loving relationship. Female is bisexual and enjoys having another trans woman join us occasionally to have some extra fun in our bedroom, 3 of us together. We both enjoy pleasing a trans woman and trying various sexy ways to make enjoy each other.

Looking for a pre-op trans female. If you are sexy, have high sex drive, and you want to have some amazing sex, send us a note. You have to be healthy, sane and drama-free, in the bay area.

No monetary incentives, only amazing massage and sensual sex. We can meet for dinner and we'll take it from there.

You won't regret it. Looking forward to hearing from you.... xoxo
",48,fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/nby/msr/5464808817.html,sfbay,nby,2016-02-25 15:56,2016-02-25 16:17,msr,m4w,Seeking Itty Bitty Titties... Very Erotic... Share them with me,"
If you are tired of having to pray for Victoria Secret to enhance you so you think men will see you equally as hot as all the fake boob plastic women then you have found a man who enjoys your eyes , smile and rest of your body .............Not all men need a huge cleavage to see you attractive.

I am seeking a lady who has a small chest and would love to share it with me. I find this an awesome turn on. I find it so natural and very exciting. 

Please be over 21............ huge plus over 40..... The over 24 is non negotiable.... this is a daytime during the week play mate

I am seeking a lady as seen in the above pic

I am tall attractive safe sane very discreet simply hoping to find that special lady to share quality time with. 



All boundaries respected 



If you are interested and want to reply.... Please type ""natural"" in the title so I know you are real and not joining a site or a scammer. 



I love what you have and want you to feel special spending time with me. 



Hope to hear from you soon. 
",45,athletic,,,,,,,,,,,," 6'4"" (193cm)",,,,,,,,,,,,,,divorced,,
