url,title,text,age,city,status,body,zodiac,diet,facial hair,drinks,eye color,religion
http://providence.craigslist.org/stp/5427872462.html,Lets Share Our Secrets - m4mw,"
I'm a middle aged very open minded guy who will listen and share our deepest darkest secrets...i'm even a late bloomer bisexual, now that is a story...lol...i'm not concerned with your age, race, body, as i think the mind is definately the most sexiest part of the body...we can email..meet for coffee, etc...whatever you feel comfortable with....i am discreet and this will be our little secret...interested? 
",58,providence,,average,,,,,,
http://providence.craigslist.org/stp/5427871054.html,Bisexual Is So Cool.....Even For Us That Are Older - m4w,"
Do You Agree Bisexual is Beautiful?....A late in life turn for me, I've discovered i am turned on bi men...women...ts's.. I Didn't Realize I was Truly Bisexual..Maturity Has Made Me Relaxed About it...I would like to meet someone between 40 and 60 to enjoy the Real Best Of Both Worlds and share our thoughts and views . I'm 58 yo..slim build, 5'9 175, mellow and layed back 
",58,providence,,hwp,,,,,,
http://providence.craigslist.org/stp/5437336137.html,Looking for a college sb - m4w,"
Looking for a college sb in the RI and near by south eastern Mass area to spoil on a regular basis. I have had success in the past recent years and looking to do it again. I have paid for ink new iphones bills and so on. Open to all college females between 18-22 please be attractive and drama free. I am open to all varieties of ethnic groups. Looking to get along both inside and outside the bedroom. So if you can carry yourself well in public thats a plus. Email me if interested and we can see where this goes. Thanks.
",34,providence,single,average,,,,,,
http://providence.craigslist.org/stp/5437316092.html,where are ya long term email buddy!!!!!!! - w4m,"
I just enjoy some nice email conversations only. I'm a single woman in my mid 40's. Would prefer someone over 40. Tell me a little about yourself and what you enjoy doing. All variations of attachment or not are welcome to reply. Since its only email!!! 

One liners or someone who can't read and just sends me their stats, phone number or pic will be deleted. That also means you don't know anything about how to start a regular conversation if your only replying in that way. If your looking to hook up or meet anyone then you are looking in the wrong section. NOT LOOKING TO MEET!!! 

I'm only posting in the ""platonic"" section. If your going to use your phone/ipad an you can't type all that much or don't want to make the effort to really type a decent reply back. Then move along an find someone else to reply to.

I want someone who really can carry on a conversation via email only. Who can talk about whatever comes to mind about what's been going on in their day/lives. Someone with a sense of humor is a plus. Who doesn't get offended easily and can go with the flow of the conversation.
",,providence,,,,,,,,
http://providence.craigslist.org/stp/5437234819.html,Two girls and board games - w4m,"
We're two girls looking for two guys to come play some board games and get to know one another, no sex just hanging out. 
Age 18-27
Please send a message with a picture and we'll send one back
",20,providence,,,,,,,,
http://providence.craigslist.org/stp/5437185199.html,looking to bro out - m4m,"
hey what's up, 
i recently moved back to ri looking for normal friends to chill with
my names tyler I'm 23 looing for laid back, down to earth dudes to hang out with, 
know its weird af but i like chill in in underwear, i feel like it builds camaraderie and builds friendship quicker. 
I'm down to each earth. I like talking and movies 
looking to chill sunday hit back if you looking to chill (nothing sexual plz)
",23,providence,,average,,,,,,
http://providence.craigslist.org/stp/5437112063.html,Looking for a down to earth girl - m4w,"
I'm just a regular, laid back, down to earth guy looking to meet a nice girl. I appreciate the little things in life. I love to make people laugh, and I have a sarcastic, dry sense of humor. I work full time at AAA and a few nights at Stop & Shop. Bonus points if you're a Red Sox fan and/or have a dog.

Don't worry, I won't ask to ""Netflix and chill."" I'm better then that. I don't even have Netflix anyway. 

Please be D&D; free! No pic = no reply. Please put REAL in the subject.
",29,providence,single,average,,,,,,
http://providence.craigslist.org/stp/5399009742.html,Nintendo or Movies anyone? - m4m,"
Whats up, Im playing Super Mario 3d World and was looking for someone to come over and be a second player till the wee hours of the morning or we can watch a movie! I know its kinda sad putting up an ad to play video games and watch movies but hey there's got to be someone else out there who is down, anyways hit me up if interested I'm a nice guy and unlike most ads there is no hidden agenda so give me a chance.
",31,providence,single,average,,,,,,
http://providence.craigslist.org/stp/5435646081.html,QUESTION FOR THE LADIES - m4w,"
I wantd a girls opinion on long hair on a guy. Is it attractive? I have had it both short and now long. Just curous as to what looks better Any advice is muc appreciated
",,providence,,,,,,,,
http://providence.craigslist.org/stp/5436896821.html,Night Owl here - m4w,"
I usually stay up til like 3 AM and just surf the net. I would like to find any other late niters so we can have a conversation. So if you are up late and want to chat about whatever get back to me, thanks.
",59,providence,,,,,,,,
