url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://newyork.craigslist.com/lgi/w4w/5478397127.html,newyork,lgi,2016-03-05 19:29,2016-03-05 19:42,msr,w4w,Married BBW,"
Hello All
I'm Nikki. As the title say, I'm married and BBW. If this is an issue for you, please don't respond. 

Now 
I would like to meet a nice, beautiful, young lady. I'm attracted to younger females that have ambition. This isn't a mommy daughter type of situation. I will not be helping you with any of your finances. 

A few of my hobbies are bowling, hookah and going out for drinks. Yes I drink, I don't smoke. 

I prefer the thick/bbws/chubby. The bigger the better. Just be presentable and smell nice. No body odor!!

I would prefer you live in or on Long Island. Unless you drive.
When responding include a full body pic and little about yourself. 
Be clean and ddf. 

Thank you
",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/brx/w4w/5478322570.html,newyork,brx,2016-03-05 18:27,2016-03-05 19:31,msr,w4w,Amazing sex today asap,"
Hey ladies, I'm seeking a sexy, attractive, feminine latina or light skin woman to come over today. We can cuddle, talk, watch a movie before we get intimate just want you to be comfortable. But, sex is what I desire and want during this meet up. So cleanliness, great hygiene, shaved, disease free is a must. I live alone so no need to rush, we got all the time to enjoy each others body. If you are into strap-on play that is a plus ➕.. Must be willing to travel, so it would be great if you live in the Bronx or upper Manhattan. Voice verification and pictures are mandatory. 

I guess I have to mention this no boys(no penis allowed), no couples (bitch plz ur own), no threesome. No CD.
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/w4w/5478382232.html,newyork,mnh,2016-03-05 19:16,2016-03-05 19:16,msr,w4w,fem for stud 👭,"
is there any serious studs left out here ? or are they all cuffed up ? well if there are any out there who want someone who's loyal cute lady in the streets/freak in the sheets then hit me up ☺️

looking for someone older ( 23-30 ) taller (5'2+) able to host & got something going for themselves 

ohh & no men or couples ill violate so try me 😏
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/w4w/5453042600.html,newyork,mnh,2016-02-17 23:34,2016-03-05 18:14,msr,w4w,White BBW Sub looking for Black Domme,"
Title kind of says it all... Good little white piglet sub looking for her beautiful black Domme. We can email, text, talk on the phone or meet up and let me lick you up. I'll serve you like the queen you are! Not many limits here. Love trying everything.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/w4w/5469152384.html,newyork,mnh,2016-02-28 19:33,2016-03-05 18:00,msr,w4w,Old Fashioned romance.,"
Seeking old-fashioned romance

I am over 50, young looking, in good physical condition, attractive, intelligent, well-read, intellectual, politically-minded, sexy, sensitive, caring, and good-natured; sometimes moody but only in response to life's vagaries. I am a writer and have worked extensively in social services, among many other things. I seek a correspondence with a like-minded gay woman who may be looking for a relationship, however, I want to correspond for as long as it takes for us to get a sense of who the other person is before we meet, keeping in mind that email lends itself to some distortions or mis-perceptions and wanting to keep the correspondence sincere. I am not on any social media and do not own a television. I am allergic to animals although I love them,; drink some but do not do drugs, have a long history with various types of relationships, am both private and gregarious; and am experienced in life and in romance. I have been single since 2011 and am now wanting to meet someone who is quietly caring and able to give of herself when she decides it's time. I prefer that we check each other out before we meet, which is what I mean by old-fashioned; remember when people used to write letters? I am such a letter writer. 
Race/ethnicity unimportant, as long as you consider yourself worldly and educated. Please read this posting carefully before answering. I am serious about my specifications. Look for me, LT
",50,average,pierced,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://newyork.craigslist.com/brk/w4w/5478186782.html,newyork,brk,2016-03-05 16:48,2016-03-05 17:20,msr,w4w,"Let's have some fun, 45","
Black woman seeks an ongoing, frankly (but not only!) sexual friendship with black or brown woman for artsy adventures around the city and hot times behind closed doors. I have posted a few times and know I can't be the only woman seeking more touch and intimacy in her life. 

I am beautiful, creative, curvy/small bbw/hourglass, natural, stylish, sexy, smart, femme. I am also in a non monogamous hetero relationship. I am in integrity about seeking more touch, play and pleasure, socially, sensually and sexually. I am not seeking a partner to join us, I am seeking a partner to join ME in cuddles, kisses and mutual pleasure.

You should be a WOC, late 30s- mid 50s, healthy, happy, creative, body positive, smart and interested in experiencing the arts and serious about play- sensual, creative, sexual and more. I am most attracted to feminine to androgynous women over 5'5"" who like to lead sexually. Poly friendly. 

Write me about your interests and be prepared to vv before picture exchange. Let's enjoy each other!
",45,curvy,,,,sometimes,never,,,,,,Natural," 5'3"" (160cm)",Negative,"Books, art, music, theater",,,,,,,,,,,never,partnered,,
http://newyork.craigslist.com/brk/w4w/5478169101.html,newyork,brk,2016-03-05 16:36,2016-03-05 17:15,msr,w4w,Our little secret 😉,"
31 year old fem, looking for a fwb ....breast play ( I love breast 😁😁😁😁), pussy grinding...(big clits to the front 😝😝😝👈.)...HYGIENE must be on point....drug and DISEASE free.... NO BUTCH AGS BBW ( unless it's not sloppy) NO MEN.... DISCRETION IS A MUST....what we do is between me and you ....
LOOKING FOR A NEW FRIEND TO UNWIND AFTER A LONG DAY OF WORK....
Send a reply with UR favorite color and let's see what happens 

NO MEN .🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽...

Chow ladies 

",31,curvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/brk/w4w/5478041240.html,newyork,brk,2016-03-05 15:15,2016-03-05 16:24,msr,w4w,Pretty Bi F Seeks Same for NSA Fun Tonight,"
I'm 5'3"", 120 lbs. Fun, easy-going very sexual, Bi F seeking a like-minded woman who is ok with joining me and my guy. No need to have sex with him if it's not your thing as long as you don't mind him playing with me. We're both fun, educated, fit and looking to have a great time. Come join our party. Open to age. Pic for reply.
",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/brk/w4w/5478141576.html,newyork,brk,2016-03-05 16:18,2016-03-05 16:18,msr,w4w,Looking for something genuine,"
Hey ladies! So I know looking for anything on Craigslist is so impossible but nothing beats a trial but a failure so why not try? I'm a 26 year old AA woman who's looking to meet someone down to earth, has something going on for herself, not trashy but classy, and who's looking for something that can be long lasting. We can have a great time and get to know one another too. Share ideas, laughs, and who knows maybe it can turn into something more. So drop me a line! A picture will get one in return! Looking forward to hearing from someone looking for the same :-)
",26,average,,,,,,,,,,,," 5'1"" (154cm)",,,,,,,,,,,,,,single,,
http://newyork.craigslist.com/mnh/w4w/5478099228.html,newyork,mnh,2016-03-05 15:51,2016-03-05 15:51,msr,w4w,Dirty Talk/Swap Pics?,"
I'm home and bored, and my pussy just got really puffy and wet...

I'd love to text/iMessage dirty and/or swap pics with a hot girl. 
I like younger girls A LOT....
",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
