url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://oklahomacity.craigslist.org/w4m/5482961608.html,oklahomacity,,2016-03-08 19:46,2016-03-08 20:55,msr,w4m,40yrs old woman looking for older kitty cat man.....@@@@@,"

I'm new at this, so I'm just gonna b quick n to the point...I am a good woman sick of nonsense n head games, so I just want to meet an older man who is looking for a friendship to hopefully develop into something more. Please don't reply if ur not serious. Thanks.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4m/5482785881.html,oklahomacity,,2016-03-08 17:27,2016-03-08 18:14,msr,w4m,Still Waiting,"
image 1
body : curvy height : 5'6"" (167cm) status : single


I've been waiting for my Prince Charming to come riding in on a white horse. When he didn't show I thought he was lost riding a slow turtle. Now I've came to the conclusion he's been hit by a bus.
' 
I'm bright, a bit impetuous, sophisticated if needed and amusing with my own personal sparkle. 

Since Prince Charming is no where to be found the next best thing would be a dashing gentlemen that's courageous, perceptive, creative and venturesome. But above all, must love to laugh!

I seek a white man in my age range. Please between 40 to 55. If these particular qualities identifies you, I'd enjoy hearing from you.

Please respond with a little something about yourself and a G-rated picture would be wonderful.

If your married or attached I'm not interested. If your out of state or the country I'm not interested.
",,curvy,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/w4m/5482658273.html,oklahomacity,,2016-03-08 16:02,2016-03-08 16:17,msr,w4m,Looking To Be Submissive,"
I want to be in a submissive relationship. I want to give myself fully to my man. 
I only want someone experienced in this lifestyle. 
Prefer someone 38-48.
Please put name in subject and send a pic. No pic, no reply.
",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4m/5482629904.html,oklahomacity,,2016-03-08 15:45,2016-03-08 16:14,msr,w4m,Single BBW ISO Long Term,"
Single BBW (Big Beautiful Woman) ISO a single man who is interested in a long term relationship ultimately. Have lots of free time to spend with someone and get to know them. If interested please reply with a photo and some info about yourself. I am very laid back and easy to get along with.. looking for a good friend which could turn into something more long term. I prefer white men, ages 35-55.
",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4m/5482471739.html,oklahomacity,,2016-03-08 14:12,2016-03-08 14:33,msr,w4m,Looking for someone who wants me,"
Hello I am a 37 year old single woman. I have been single for quiet some time. I don't do the club scene and have issues with organized religion so I am uncomfortable trying to find someone at these places because I feel I am not being true to myself or the person I would meet. I am not saying that I do not believe in a higher spiritual being. Anyways a little bit about myself I am around 5'7"",210 pounds, blond/brown hair, blue eyes. I do smoke but I don't partake of any other drugs besides caffeen. I do have a couple of tatoos and really like body art. Looking for someone who wants some kind of relationship not just fwb. If you are interested in knowing more send me a message. Please tell me your favorite color in the subject line so I know you are real, I am real it was raining in south okc this morning.
",37,,,,,,,,,,,,,,,,,,,,,,,,,,,divorced,,
http://oklahomacity.craigslist.org/w4m/5481522375.html,oklahomacity,,2016-03-07 22:01,2016-03-07 23:28,msr,w4m,Gentleman,"
Hey where are the good men that are gentlemen . That's opens doors and are very caring . I am looking for that special person to connect with and hopefully start a relationship me .would be nice to have someone in my life to do things with , hold hands , cuddle and kiss . Would be nice to have someone care about 
each other and be there for one another . 


I am very loving and caring . I am a good person just looking for a good man
",38,,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4m/5481576245.html,oklahomacity,,2016-03-07 23:11,2016-03-07 23:11,msr,w4m,I need a boyfriend,"
Hey I just moved here And I feel lonely. I need somebody between 18-24 to speak with, to love etc...
Just text me with your picture and e mail.I Will text you back.
",19,average,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/w4m/5481004957.html,oklahomacity,,2016-03-07 15:31,2016-03-07 15:47,msr,w4m,Looking for a great man of chivalry,"
Looking for a handsome, well groomed, caring man that is at 6' tall or taller, husky build, An educated & employed man between 50-60 yr old. Well mannered, well spoken, I'm looking for a true gentleman that is chivalris in this day and time. I first want a best friend, someone willing to go slow and let us get to know each other well before taking the next step. Enjoy romantic kisses, being held close, snuggles, feeling protected, laughing, having fun, and feeling safe. Someone to grow old with. I enjoy cooking, a clean home, clean dishes, clean clothes, and to look nice for my man. My nickname was Wild Thing and all these years later, it still fits. Can""t predict me as I can't predict me! I'm a fly by the seat of my pants type of lady. I will not ever endure any kind of abuse as I'm a good person and a child of God.
",56,thin,,,,rarely,never,BS in Elementary Education,White,Blue,,,Brunette," 5'4"" (162cm)",,,,,,,,,Chihuahua long haired male,,,,never,,130,
http://oklahomacity.craigslist.org/w4m/5480953221.html,oklahomacity,,2016-03-07 15:02,2016-03-07 15:27,msr,w4m,Tell me something,"
Hi there. I am looking for someone between 33 and 43 who enjoys an intelligent conversation. Single. Sad I have to specify that. But that is a must. If you just instantly demand a picture, I'm not going to respond, but if you want to strike up and interesting conversation or tell me one of your favorite quotes? Then we might be onto something.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4m/5479977485.html,oklahomacity,,2016-03-06 23:19,2016-03-06 23:19,msr,w4m,Looking for a good man!,"
Hey y'all I'm Misty I am 25 from a small town I'm looking for a guy that's ready for a relationship! some of my hobbies include reading,fishing,college football,cooking and there is a lot more :) I'm going to keep it short and sweet for now! shoot me an email see ya!
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4m/5479156572.html,oklahomacity,,2016-03-06 12:02,2016-03-06 12:02,msr,w4m,Ready for something more,"
I am a single lady, 5'6"", 145 lbs, brown hair, and brown eyes. I am looking to meet a gentleman, and go from there. I am not interested in a fwb situation. Please send pic, and make it a clean one, not interested in crotch shots. That's not my style.
",43,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,widowed,,
http://oklahomacity.craigslist.org/w4m/5478339126.html,oklahomacity,,2016-03-05 17:40,2016-03-05 17:53,msr,w4m,Gentlemen,"
I am looking for an older man to treat me to a new adventure. I am funny, smart, and a complete fox. Tell me if you had one day to spend with me what would we do?? I want to to think outside the box and be daring. I am working late tonight so email me I'll get back to you soon. Have a lovely evening(:
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4m/5478327322.html,oklahomacity,,2016-03-05 17:30,2016-03-05 17:30,msr,w4m,"Not a princess seeking a prince, seeking...","
As the title implies, I do not need to be saved nor do I wish to rescue you. I travel a bit for work and I am looking for that person to share some down time with a few times a week. Whether we dine in or out, see a movie or just take a walk and enjoy each other's company, I am looking for that meaningful relationship that does not have to go farther than being really good friends with benefits. If you are married or in a relationship, please go on to the next post. Looking to build a mutually beneficial friendship with great sex. I am tall, fair and curvy. Please tell me more about yourself with the understanding that I am seeking someone to engage with on many levels. Looking for someone around my age but flexible for the right person.
",40,curvy,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
