url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://oklahomacity.craigslist.org/w4w/5464490274.html,oklahomacity,,2016-02-25 14:27,2016-03-08 19:01,msr,w4w,Maybe I'll find her on here,"
Hello ladies,

I am a 31 yr old butch swf. Brown hair and hazel eyes. Im just looking to meet new people. Im outgoing, easy to get a long with. I do have a job and car, not looking to support anyone tho. I'm into sports, music and family. I'd like to meet someone that has the same interests as me. I like being spontaneous and I can also just stay at home and watch movies. I love trying new things. I wear my heart on my sleeve and would do anything for anyone I care about. I tend to be more attracted to femmes. 

If interested feel free to send me a message
",31,big,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/w4w/5481965568.html,oklahomacity,,2016-03-08 09:39,2016-03-08 10:05,msr,w4w,Anybody Going Through a Break Up?,"
(Please note the picture is not me, it's a model and her gf I follow on IG and I loved the quote at the bottom of the pic so I used the pic) 


I am in search of a woman going through a break up...we can share stories and hope each other get over our exes. I have no intention on being your rebound or you being mine. I moved here with my ex and I have 1 friend here (not originally from here). So maybe we can cry together, maybe have nights filled with laughs, and evaluate what went wrong, what we learned from our experience and what we can do better next time. 

I know this might seem far fetched opening up to a complete stranger but I am an open book and wondered if there is another woman out there that might be comfortable doing this too?
",31,thin,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/w4w/5481435270.html,oklahomacity,,2016-03-07 20:35,2016-03-07 20:35,msr,w4w,Love me before I die,"
I know I'm going to die soon. I can just feel it. Idk what day. Then again do any of us?.. So love me before I die. Come over tonight. And be with me afterwards. I live with my ex and friend and roommate. He is a nice guy too. Give me the relationship with a girl that I have been waiting so long for.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5480798079.html,oklahomacity,,2016-03-07 13:36,2016-03-07 13:47,msr,w4w,A New Friend,"
I am looking for a female friend not a one time thing someone I can call and she can call me. I understand busy schedules and so should you but we all make time when we can. I am real and serious I won't flake. 
Mixed HWP and you won't be disappointed so if you want to talk and see if this will work let's try
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5478591137.html,oklahomacity,,2016-03-05 21:56,2016-03-05 21:56,msr,w4w,Long Term,"
So here we are posting on craigslist because unsure of where else to go. Married couple looking for long term relationship with another woman. We have been married for 14 years and looking to explore and evolve in our relationship. Not looking for NSA, married women, or anyone in the drug scene. Looking for someone between the ages of 35 to 42. Our ages are wife 41 husband 46. Due to the nature of our jobs can't post pics online. If you are the one reply to this post and we can talk about exchanging pics.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5475567048.html,oklahomacity,,2016-03-03 21:30,2016-03-03 21:30,msr,w4w,"No men, no casual, just girls pls","
I am for real just with girls, men don't waste your time i am not interesting in boys so stay out. girls dont write just to say hi i wanna see a pic and introducing yourself besides what are you looking for.
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5474972210.html,oklahomacity,,2016-03-03 14:06,2016-03-03 15:18,msr,w4w,looking for special someone,"
looking for playmate, in and out of the boudoir. Someone I can share with my husband, but mine. I want a women DD free, social drinker, non smoker, any body size, race not and issue, I do love black women, Hispanic, ethnic of any type. someone smart, that can hold a conversation who likes movies and not afraid of pda. someone I can make sweet love to and cuddle. I am 42, he is 44. I,m a size 18, he is 6'2 blonde hair blue eyes. He is very sexual and loves to kiss.
",42,curvy,I do have tattoos,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,married,,
http://oklahomacity.craigslist.org/w4w/5473457099.html,oklahomacity,,2016-03-02 14:20,2016-03-02 14:20,msr,w4w,"Springtime, something in the air?","
I hope that it's love.
I'm looking for a very special girl to call my own.
I'm a recent transplant to your beautiful city.
What was I running from? Or what am I running to? 
Want an answer?
Please introduce yourself, and send me a picture that you'd be ok showing your grandmother?

",25,curvy,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/w4w/5471981348.html,oklahomacity,,2016-03-01 15:16,2016-03-01 16:30,msr,w4w,"looking for a""best friend""","
I am a curvy, attractive, older African American female looking for someone to have fun with go to movies go out to dinner go have drinks, Size race and age are unimportant I am NOT looking to jump into anything I want to be a friend first and I assume that you would want the same I will answer all Ads that include a picture I ask that you be clean size and race are unimportant to me if you have any questions feel free to ask please put ...I know right.... in the subject line your pic gets mine
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5470618164.html,oklahomacity,,2016-02-29 17:25,2016-02-29 17:25,msr,w4w,Looking for some casual fun,"
Just got out of a long term relationship that had a very long dry spell. Nothing serious. Just want someone who wants to have fun. I'm 420 friendly, although I don't usually smoke I just don't have a problem with it. I'm disease free, you need to be as well. I can host or travel. Respond with your favorite color in the subject line. Your pic gets my number.
",25,average,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/w4w/5469146694.html,oklahomacity,,2016-02-28 18:28,2016-02-28 18:28,msr,w4w,w4wm looking for a 20-35 year old sexy femm,"
Your picture gets ours.. cant wait to hear from you. Biracial couple looking for you! ;)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5454587772.html,oklahomacity,,2016-02-18 23:15,2016-02-28 14:51,msr,w4w,Something like this?,"
Looking for a woman that wants a discrete physical relationship. I am currently attached and not satisfied. If you are wanting a discrete physical partner let me know. Women only. 
If this sounds like you send me an email, and a picture.
",25,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,partnered,,
http://oklahomacity.craigslist.org/w4w/5465585850.html,oklahomacity,,2016-02-26 10:41,2016-02-28 12:58,msr,w4w,Are you my submissive pet,"
Are you going to be my submissive pet

I am very dominant and into bdsm

You be submissive and into Bdsm

Are you wanting to explore the other side with an experienced dominant woman? You age race and size really does not matter the only thing that really matters is your willingness to submit. 

Write me now and let's get started down a new path together
",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5467747641.html,oklahomacity,,2016-02-27 17:12,2016-02-27 17:12,msr,w4w,My fantasy,"
I'm Monica..my biggest fantasy is to dominate another female.. Hardcore.. If there's any women who want to fulfill my fantasy you know what to do 😈
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5466362955.html,oklahomacity,,2016-02-26 18:24,2016-02-26 19:31,msr,w4w,Looking for my girl,"
I am a 37yr old female. 5""3 short brown hair blue eyes and 185 lbs . Looking for someone to spend quality time with me and go in public holding hands and just being their for me no matter what if thats you send pic or it will be delete ty
",38,big,,,,,,,,,,,," 5'3"" (160cm)",,,,,,,,,,,,,,separated,,
http://oklahomacity.craigslist.org/w4w/5466027993.html,oklahomacity,,2016-02-26 14:44,2016-02-26 15:33,msr,w4w,just looking,"
job, vehicle, home, kids...

no married chicks please

no sex for a while.. friendship first

no studs
",29,curvy,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,divorced,,
http://oklahomacity.craigslist.org/w4w/5465412929.html,oklahomacity,,2016-02-26 08:58,2016-02-26 08:58,msr,w4w,420 friends,"
Looking for a girl to smoke with nothing else, just friends. would prefer if you were lesbian/bi as I love making new gay friends. Not expecting much since its craigslist but figured I'd give it a shot. Im a college student.
",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/w4w/5463747242.html,oklahomacity,,2016-02-25 05:34,2016-02-25 05:34,msr,w4w,Butch 4 Femme,"
Attractive Butch looking for an attractive, sweet femme late 20s to early 40s to get to know slowly. Love going to concerts, sporting events, taking road trips & eating Japanese sushi.

Please be able to write a paragraph and be willing to email initially. Please no nude pictures & or couples and if you are bisexual~please be SINGLE~thankyou & have a blessed day!!!

There are some good concerts such as Mumford & Sons and Billy Joel coming to Oklahoma!!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
