url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://losangeles.craigslist.org/lgb/w4m/5484679247.html,losangeles,lgb,2016-03-09 20:35,2016-03-09 20:54,msr,w4m,Intellectual bbw,"
I'm all about good vibes and positive energy. I love discussing music, philosophy, religion, spirituality, ancient knowledge, all that's esoteric, etc.

Looks don't matter, but because everyone will ask.. Here's a description of me. I'm a big woman with a big heart. I have long black hair, brown eyes, full lips and a nice smile.

I'm real, so please do not ask! No one worded messages or guys looking for sex.
",,big,,,,,,,,,,,,,,,,,,,,,,,,,,,,♏ scorpio
http://losangeles.craigslist.org/wst/w4m/5484687255.html,losangeles,wst,2016-03-09 20:46,2016-03-09 20:46,msr,w4m,"Moment in time can change your life, take a moment","
So how do I attract fairly normal guys, with some wit, intelligence, that can email a little to know if we can get past the wondering if CL crazy part, plan a meet, then actually get together to see if we have some connection or chemistry?

I am open to whatever it unfolds into, as not knowing you, have no idea what type of relationship we will have. I am open to whatever moments we can get together, and if we are busy, that is life. I am not going to demand all your time unless that is what you ask for.

I get in LA there are all types of people and all kinds of likes and dislikes. SO tell me what you are seeking.

I am a positive, fun, reasonably adventurous and uninhibited, witty, intelligent, well traveled, nice looking white female 5' 8"", HWP, that does not smoke or do drugs, occasionally drink, and drama I enjoy on stage or film where it belongs.

I do not care about your connections, or money, just who you are and what you will share with me in whatever moments we have together. I am always growing, so am flexible with learning about you and your life and preferences, and hope you are expanding in your thoughts as well.

What I am seeking is the rarest commodity we have, your time... time to laugh, snuggle, have fun and adventures, romance and passions if so lucky. I seek a little depth, a real connection, and I am not a fair weather friend or lover; so once you have my mind, the body soon follows, and I will love the connection and the growth of it for as long as it lasts. Life is so much better when shared, and I am not afraid to be completely happy in it. So basically, I would like it all while asking in no matter whether we have small or large moments of time together. 

So if you are not living life as the adventure it is, missing fun, adventures, romance, and passion with someone who is living life to the fullest... come join me as I am real, a female since birth, and looking for someone fun to come along and share the great roller coaster of life's ups and downs together. Tell me where the ride might go.
",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sfv/w4m/5484672045.html,losangeles,sfv,2016-03-09 20:25,2016-03-09 20:45,msr,w4m,hot hawaiian males,"
Hi my name is Harley 30, tatted, mixed, 5'7, big tits and big ass, no kids, looking for a hot tattooed 33 to 35 year old male, MUST BE Hawaiian, Filipino, Must live in the Valley, must have nice teeth. In order to see what I look like U MUST SEND A PICTURE First
",30,curvy,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://losangeles.craigslist.org/wst/w4m/5484612760.html,losangeles,wst,2016-03-09 19:17,2016-03-09 20:12,msr,w4m,LTR,"
Would like to meet white serious very well educated positive man for ltr. Please be local and response with your picture. 

",50,average,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,divorced,,
http://losangeles.craigslist.org/lgb/w4m/5484621220.html,losangeles,lgb,2016-03-09 19:26,2016-03-09 20:11,msr,w4m,SWF Tall Blond seeks SWM Tall Guy,"
Tall Blond seeks Tall Guy

This post is not for EVERYONE

Please do not reply IF YOU ARE UNDER AGE 55

UNDER 6'3 & UNDER 200 LBS !!!!!

I am a Single White Female, Tall Slender Blond in my mid 50's 

I am seeking a Single WHITE Male 6'3"" tall or over

Looking for my best friend to hang out with may be have a drink,

I am not looking for a good time-

I am looking for a life long partner

All I get is responses from guys who are:

Too short and too young 

or too old-

I like to go to the gym/beach etc

I will not reply if you do not send a photo of your face

Thanks for your response 

I am looking for a boyfriend 

I am not a guy 

and I am not a picture collector 

Key Words Cars Truck Tools
",55,athletic,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,single,,
http://losangeles.craigslist.org/wst/w4m/5484582724.html,losangeles,wst,2016-03-09 18:46,2016-03-09 20:08,msr,w4m,Are You The One,"
I am at my wits end but i am trying not to be unmotivated I am looking for someone who is real who is genuine and can guide me in the right direction personally and professionally I have been so guarded because i know the entertainment industry can be very cut throat and all i really wanted was to find someone who actually care i am not an instagram model but i am attractive i make great music and i just want to find someone to guide me in the right direction who has experience in the entertainment field or connections please no bull no games no pic no response i am not shallow and looks do not matter i am not that type of woman all i ask is that you do not be creep i write back with rude responses, this is not a fake ad i am actually seeing a genuine person for support and to play a part in my career and life as well.
again no pic no reply
",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/w4m/5484620346.html,losangeles,wst,2016-03-09 19:25,2016-03-09 20:01,msr,w4m,Waiting For Mr.Nice Guy,"
Nothing is more attractive than a man that knows how to plan a romantic evening. I'm one of those women that still appreciates a traditional gentleman. I am looking for a gentleman who goes the extra mile to make a woman feel special. Men over 40 have top priority. I hope you enjoy champagne, traveling, room service at the finest hotels and spending quality time together.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sgv/w4m/5478680795.html,losangeles,sgv,2016-03-05 22:32,2016-03-09 19:58,msr,w4m,Intelligent Man,"
Hi,


I'm looking for a Smart, Friendly, White Male with a Great Personality, Good Vibes, and Sense Of Humor. To be Friends with and possibly have a LTR.

I am Hispanic, 27, Female, College Student, have a Great Personality and Sense Of Humor. I love to Smile and Laugh a lot. I hope you do too :) lol. I enjoy lots of Fun and Positive things.


Reply with Pictures of Yourself and tell me About You :)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lac/w4m/5484644404.html,losangeles,lac,2016-03-09 19:51,2016-03-09 19:51,msr,w4m,I got that super head ;),"
Jae. 22. Mixed. Thick. 
They don't call me super head for nothing. Wont you come find out? I WILL NOT have sex so don't ask. I'm available after 6 p.m. I only do car service, it's more discreet that way. Flowers are a must to play with me (f.I.f.t.y.) I don't send pics. I'm 100% real. Drug & disease free. Be ready, mobile& chill. Vulgarity will get you black listed. Hmu. 
323 FourNineSix 0417.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lgb/w4m/5484599356.html,losangeles,lgb,2016-03-09 19:03,2016-03-09 19:41,msr,w4m,ASIAN GANGSTER❤,"
Hello, 
I'm a chunky Hispanic girl looking for an Asian guy interested in dating :)
a bit about myself...
I like long walks on the beach and short walks to the fridge
I'm really funny sometimes 
i laugh at myself the rest of the time so you don t have to 
I smell like candy 
i like to learn
im respectful and like to be respected
my hair is really soft 
i love punk/oldies/old country and all kinds of music really...depending...
i make amazing enchiladas 
im really nice 
my face is pretty great to stare at 
and old people and cats love me!
Also...since people seem to be onto horoscopes. I'm a Cancer. 

. I'd like to meet someone interesting, nice, quirky, and fun. Please contact me if you are in between the ages 21-27 . Also im low key attracted to Asian Gs... mssg me if ya want, tell me about yourself and add a pic or two so I know you're legit
",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
