url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://losangeles.craigslist.org/wst/stp/5483151713.html,losangeles,wst,2016-03-08 21:16,2016-03-08 21:46,stp,m4w,Platonic to start!,"
Friends first; lets get to know each other!!

I am looking to make new friends. Any good relationship starts out as friends first and in due time can evolve into a meaningful relationship. Someone who just wants to have a good time without pressure, be yourself and I will do the same. Personally I am an easy going, laid back can be funny as hell, very sarcastic and like to laugh rarely get stressed or become angry. I will make fun of you as well of myself. Life is short so I just like to enjoy the days as they go by. I will at times do random acts of kindness to others just to make myself feel better and to make our world a better place for all. As to what I like to do the laundry list can go on and on, but will try almost anything once. Some of the things I enjoy most are trying new restaurants (ethnic ones with a green B in the window) road trips speeding to our destination, the outdoors and cooking and yes I am a good cook. Quiet moments together just enjoying the company of one and other; lets not forget acting our shoe size not our age.

One thing that is very important to me is that you are an honest and real, a kind and caring person who speaks the truth. Someone who has feelings and is not afraid to express then, help each other out in both times of good and bad.I don't care what you do fore work or where you live or what you drive, just be a good hearted and a real person that hard to find this city we call home. Ideally I am looking for someone who is a least 35.

What I would like to get out of this post, is to make some new friends and maybe just maybe a best friend and a lover. Someone to grow old and grey and tooth-less with and have medacare buy us a pare of Hoverrounds.


If you have read everything I have written great. Because there is so much spam or BS on these listings I will only reply back if you answer a few basic questions in no particular order.

Where do you live, a zip code will work. Just want to make shore were both in the same time zone?

What decade where you born in?

Should I be a monkey suite or jeans and tee shirt person?

Are you just as happy eating at an ethnic restaurant with a green B in the window as you might be at a fine dining restaurant?

In all fairness hear are my answers to my questions.

Nine oo three 5

Turbulent 60's

Jeans and tee

Green B ethnic
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lac/stp/5483168993.html,losangeles,lac,2016-03-08 21:45,2016-03-08 21:45,stp,m4w,dont like people?? me neither lol 😂😂,"
Im 36
Miced with black n white 
6 ft 215 lbs
Gits some chubb chubb on me
bald head 
green eyes.

Lets see if anyone on here is looking for the same. I kike to excercise, drink coffee and beer live traveling im a van dweller (live in my van) i fo it cause i like to and i travel around doing it. I dont like living my life under society's rule some of the time...and the other part a abide until i get bored. 
I love animals the enviorment eating greasy food singing badly and talking to stranger. I act kubda immature but have a good heart, i might just be misunderstood thats all :) so i guess thats it.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/stp/5483154986.html,losangeles,wst,2016-03-08 21:21,2016-03-08 21:42,stp,m4w,Looking for a friend to chat with and maybe more,"
Life is too short to waste it, so finding a friend is my goal, to share special moments and conversations, which may become endearing, captivating, adventurous and downright fun.
I want something deeper than just superficial intimacy. I want to connect on a level so few have had the privilege to achieve with that special friend. Finding someone to chat and share everyday things, talking about our life's journey and all the choices we've made good or bad. 
I don't know why certain people are placed in front of your path, coincidences, fate or sheer happenstance but nevertheless, everyone I have come into contact with have been cherished and beloved memories. Are you the one this post was meant for, I sure hope you are, I know you're out there? Age to me is just a number to me, I hope it holds no real significance for you either. I am able to relate to you whether your 21 or 55, having the confidence in my ability to engage in great conversations with you.
I dare you to find out if I'm what is needed, to help get you through a boring day. Remember we all need someone in our life's from time to time to make us feel alive.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lgb/stp/5483164987.html,losangeles,lgb,2016-03-08 21:38,2016-03-08 21:38,stp,m4mm,23 year old in long beach seeking one night stay,"
Hello 

I'm a 23 year old Latin looking for someone to host me. I'll be there for work Thursday and Friday... want to meet someone to befriend and maybe go out and check out the local bars. I'm 420 friendly, spontaneous, open minded and love meeting new people. 


Looking for
March 10
March 11
",23,average,,,,,,,,,,,," 5'5"" (165cm)",,"Beaches, bars, reading, studying new language.",,,,,,,,,,,,single,,
http://losangeles.craigslist.org/sfv/stp/5479816257.html,losangeles,sfv,2016-03-06 18:06,2016-03-08 21:36,stp,t4t,mediums and large and xl 30 items for cds and tgirls m4t,"
I've been trying to sell these for a while and I just realized I need to stop thinking they are new items and ask less. So here they are. They have minor wear and tear, lose threads. The five dresses cost twice as much as i'm asking for allthis. email me! Even the dresses have wear and tear though so i'm not asking nearly as much as the tags. :) I think I came to a fairprce fivehundred for them all :). You can inspect them before taking of course to make sure youre happy first but no trying them on
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sfv/stp/5479804462.html,losangeles,sfv,2016-03-06 17:55,2016-03-08 21:35,stp,t4t,small and xtra small clothes thirty four items just one fifty,"
I've had these for a while and continually try to sell them but I keep foregettin these aren't new and asking for too much. The gray tank has a safety pin on it and some of them have tiny stains. One fifty is all i'm after. :) email me
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/stp/5483145207.html,losangeles,wst,2016-03-08 21:06,2016-03-08 21:24,stp,m4w,Searching for a female platonic friend.,"
Looking for over 38 something. I just can't get into hanging out with guys. So I live near the beach. I have my own place. I have a extra room and looking for a roommate (I'm not asking you to move in , just telling you about myself, hey want to move in?). I'm also looking for a platonic friend. I like non Hollywood blockbuster films. I like old classic movies. I like to cook and go out to eat, the full range of culinary delights. I'm very active and I'm really into lounging. I'll drink anything but moderately. Into casual beach cruising bike rides, I have an extra bike in the garage. I have tons of free time. A night owl by nature. Single never married no ex wife or kids. Average height, easy on the eyes, I clean up well, slim (not skinny) and very fit. I garden and like hanging out and in, going out finding place where there are no crowds. It's fun to find places where there is no competition for space. I'm open to get into what you are into. I'm up for learning the many things that I don't know. So in short I'm a fun and fit and active and I also like to be lazy, I'm a great catch but I'm looking for a platonic friend. Let's make plans for the weekend, let's get chummy. I will send my pic first if you like. 





",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sfv/stp/5483143016.html,losangeles,sfv,2016-03-08 21:03,2016-03-08 21:16,stp,w4m,hi 25 Yrs old to 35 only.,"
Just looking for friends only. Nothing else. No creepy, crazy, no drama. 

Send three pics and we can talk over the phone. So I know your real. Tell me little about yourself. I will reply if we have stuff in common.
",,,,,"Drinking, smoking, drugs",,,,,,,,,,,,,,,,,,,,Yes,,,,,
http://losangeles.craigslist.org/sfv/stp/5449625780.html,losangeles,sfv,2016-02-15 15:49,2016-03-08 21:14,stp,m4w,Full body massage,"
I give a totally relaxing therapeutic full body massage. I am 6 foot three brown hair blue eyes I weigh 220 pounds and I am in great shape. I have a very large hands that can be as strong as you want them or is soft as you need them. I come to you with my table linens and oils. i am available any time. Please get in contact with me if you would like to complete massage.
",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sfv/stp/5472531209.html,losangeles,sfv,2016-03-01 20:41,2016-03-08 21:09,stp,m4w,Looking to talk,"
Hi there! I'm an otaku looking to talk with fellow anime fans.

Just finished Summer Wars and Naruto. Checking out One Piece and Berserk at the moment. I've watched all the classic animes growing up, and love connecting with new people.

Also into food and movies. And hiking!

We can meet up if either of us are down.
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
