url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://seattle.craigslist.org/sno/stp/5484536553.html,seattle,sno,2016-03-09 18:03,2016-03-14 09:41,stp,m4w,Looking for a friend from Snohomish County,"
Hello, just a basic guy here, looking for a friend around this area,
I want to start with email and if all going well maybe do some texting too,
long term I'm looking for a friend so not endless emailing, 
all I ask is that your over 18, and younger than 60 is the age range I'm looking for.
I'm kind of a night person, I work nights so I tend to be up late wen I'm not working,
but that's just me, I'm up at other day times too, so feel free to email wen ever.
I'm open to talk about anything, I don't judge anyone, I just like talk about stuff,
I'm more of a shy person, some anxiety in person but on here I'm able to open up more,
after we know each other better I open up a lot more, and not very shy any more.
I hope to hear from you, take care'' ( I will leave my stats below ) 
",41,average,no,,Drama,sometimes,never,high school,white,brown,no,anxiety disorder,very short," 5'10"" (177cm)",very clean,"books, hobbys",,,"beaches,parks,outside",,self employed,shy at first,yes,no,ask me,,never,,,♍ virgo
http://seattle.craigslist.org/see/stp/5490631826.html,seattle,see,2016-03-14 09:34,2016-03-14 09:34,stp,m4w,drinks tonite on me. cute guy feeling spontaneous.,"
So like The title says I have the night off work and I want to go have some spontaneous fun with a cool cute girl. Im 34 years Young. Love Music and Good Food. So much more about myself id love to share, but we can talk about that over dinner and drinks. Ladies i am kinda picky. Sorry. I just like to take Care Ă¸f myself and im only attracted to girls who feel The same way. this offer is Only open to an attractive girl. Im a fisherman in Alaska and Work in The bar industry when om not there. Im a Fun guy. So be spontateous and lets hang out. 420 friendly.
",34,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,,,
http://seattle.craigslist.org/tac/stp/5490624215.html,seattle,tac,2016-03-14 09:31,2016-03-14 09:31,stp,m4w,kik my ass.,"
Bored as fuck at work. Hit me up on kik. 

Craigslist says this is too short. So I will tell a story to make craigslist happy. 

There once was a man named joe. Joe thought craigslists restriction on posts for their length was stupid. Joe then made a rant on Craigslist about the restriction. Joe was then banned from craigslist. Joe doesn't care. Because joe has a life. 

Be like joe. 

Kik: Oneboredguyy
",26,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://seattle.craigslist.org/tac/stp/5485158455.html,seattle,tac,2016-03-10 09:04,2016-03-14 09:29,stp,m4w,Flirty friends or possibly more?,"
I am a married white male with an desk job open to casual emails, maybe some flirting or possibly more. Just looking for that one woman who is sitting at home drinking coffee reading these ads for fun but doesn't usually respond. Marriage is ok but missing that spark or connection for many years. Would love to meet someone in similar situation who is open to talking but not sure they want to take it further. I have never been with another woman but not opposed to it with the right person. 
I am an attractive HWP man, down to earth, mid 40's, great sense of humor, witty and sarcastic at times. I can be a little shy at the start but if I feel a connection with someone I can open up pretty easily. Looking for similar in a woman.
Maybe just emailing, flirting, possibly meeting for coffee or ?. Hope to hear from you.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/sno/stp/5490604703.html,seattle,sno,2016-03-14 09:20,2016-03-14 09:20,stp,m4m,looking for some new friends,"
I'm looking for a buddy or hopefully a few buddies to chill and just be dudes with. Nothing weird, I'm not looking for a massage, a partner, some weird fetish... just friends. I'm a beer drinking, food eating, sports fan and video game playing straight dude. I don't have any problems with anyone who is gay as long as there is no expectations or needs in that department. 

I am 24 and on Craigslist because my friends are thinning out. Some of my friends have joined the military, got jobs in other states, ignore their friends when they start dating someone. You name it. I have a small group of friends and I'd like to be a bit more diverse when it comes to friends. I'm hoping to find someone close by or in the lynnwood area who's not a flake.

I'm a jokester who likes to laugh and make others laugh, I play games but I wish I had more time. I have a huge collection of video games that are on all the current consoles. I go to new breweries often because I enjoy trying new beers. I'm responsible, have a decent paying job for my age and no college education. I'm a good friend to have. I'm always there for my buddies if they need anything. I have a girlfriend and that's why I'm looking for guy friends. Not too many girlfriends like there boyfriends hanging out with girls.

Not that it should matter too much but I'm 5'10"" 180 pounds, average height and weight for the most part
",24,average,Tattoos,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,partnered,,
http://seattle.craigslist.org/tac/stp/5482123746.html,seattle,tac,2016-03-08 09:06,2016-03-14 09:17,stp,m4w,Free Photo Shoot Available,"
Hello there! I am a gentleman with a professional camera and an eye for taking a good photo. Are you interested in having photos done... your car or motorcycle for a calendar? pretty glamour shots? boudoir and lingerie? you and your pet? nude shots? Erotic couples encounters? Well I'm the man for the job! We can arrange a time to meet and set up the incidentals, or you can just inquire through email. My expertise behind the camera and you in front of the camera in exchange for free photos for you, and for myself that I use to build my portfolio. I will only use photos you allow me to use in my portfolio, and no photos are shared anyplace without specific written permission by you. I am not a professional, just a practicing hobbyist. That benefits you by having quality amateur photos being at no charge and for me just to sharpen my skills and enjoy a hobby. I mainly do on location, which means a place you arrange or set up. I only do 18 and older, no exceptions. I am local in the greater Pierce and Thurston County area. I have been told I'm very friendly and easy to work with. Interested? Lets talk...
",49,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,,,
http://seattle.craigslist.org/sno/stp/5487253560.html,seattle,sno,2016-03-11 17:17,2016-03-14 09:11,stp,m4w,Walking buddy,"
Hello just moved to South Everett and i am looking for people to walk with at least 3 times a week.
",47,big,,,,,,,,,,,," 6'4"" (193cm)",,,,,,,,,,,,,,,,
http://seattle.craigslist.org/sno/stp/5490503162.html,seattle,sno,2016-03-14 08:25,2016-03-14 08:43,stp,m4w,NUDIST LOOKING FOR MATURE WOMEN,"
Looking for women to pamper and wait on. I have been a nudist for years and love to wait on a woman. I love to do it nude. I will clean or cook or give massage whatever you need I do not charge I do this for fun, so whatever chores you have I can do I also fix things but only do so naked. 5 10 170lbs
",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/see/stp/5490531235.html,seattle,see,2016-03-14 08:41,2016-03-14 08:41,stp,m4w,Drinks and laughs tonight,"
Hi I am in town for a short visit and will have time to kill so would love to buy you a cocktail and put the world to rights. I am in my late 40's of Indian patents. 

Please put your cocktail of choice in the subject line and reply with a recent face picture,
",,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/tac/stp/5483987749.html,seattle,tac,2016-03-09 11:48,2016-03-14 08:33,stp,m4w,Trade Happy massage,"
Thinking it would be nice to get a massage and give a massage. I am not looking for a f**k but a happy massage would be great. I am hoping long term if we click. Tell me about your massages and a picture so I know your real

I am older so if that bothers you move on. Put Tacoma in the subject line.

Happy Monday hope you have a great week
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
