url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://seattle.craigslist.org/see/w4m/5490429815.html,seattle,see,2016-03-14 07:41,2016-03-14 09:31,msr,w4m,single birthday girl,"

I just turned 28 I'm a med student that just want to have fun he some to talk laugh dance just have a good time?? the only problem is I'm single hit me it your a cool gentleman that likes to have fun heres m ugh number 843-864-three one four one
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/oly/w4m/5490412679.html,seattle,oly,2016-03-14 07:30,2016-03-14 09:25,msr,w4m,*-*-*-*Bj lover*-*-*-*,"
*****Let's find a dark park and I will make you cum hard. Or have a room where I can really take my time and eat and finger (and fuck?) your sexy ass too. Prefer white cut cocks. Yes. I'm female. Be serious please.****
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/see/w4m/5490537265.html,seattle,see,2016-03-14 08:44,2016-03-14 09:25,msr,w4m,Seeking Will from Boston from BBW searching for the impossible,"
Hi, looking for Will from Boston, my post got flagged last night and stopped emails before we could exchange personal info, and I was really enjoying talking to you. I hope you see this, I'd really like to connect again. 

M
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/tac/w4m/5490553679.html,seattle,tac,2016-03-14 08:53,2016-03-14 09:19,msr,w4m,Date???,"
I'm very attractive, hwp, sweet and thoughtful seeking someone stable, mobile, not over 40, not looking for a hook up, this isn't a scam I live in Pierce county. Please send a pic otherwise I won't respond. Thank you
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/see/w4m/5490430205.html,seattle,see,2016-03-14 07:41,2016-03-14 09:01,msr,w4m,A good time with 2 sexy women!!!!,"



Guys today we can make your fantasies come true. I'm a slim thick chocolate freak & my gf is a sexy caramel bbw. We have pics of course. Were looking for fun today/tonight....
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/tac/w4m/5490518769.html,seattle,tac,2016-03-14 08:34,2016-03-14 08:54,msr,w4m,Pedicure date?,"
anyone interested in doing something I really like!?? I like selfless acts of kindness but who doesn't? I'm very pretty, always praised for appearance and have a great personality, not over weight. Please be under 40 and send a pic. I ONLY RESPOND TO MESSAGES WITH PICS
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/oly/w4m/5480935359.html,seattle,oly,2016-03-07 12:51,2016-03-14 07:43,msr,w4m,Let's chat!,"
Divorced, 38, BBW, not sure I'm ready for dating but would like to find someone to chat with, share our days and interests. If I find someone I connect with intellectually I would like to eventually meet. I'm nerdy, witty, sarcastic, funny, and have lots of time to talk :) Please put your age and location in the subject. If this ad is still up I'm still looking. 

Disclaimers: please do not send me a photo of your junk or of you naked. This ad is not in Casual Encounters. If you aren't smart enough to figure out I'm not looking for sex then we would not have anything to chat about. Quit wasting your time. Not looking to chat with attached or married men. Please be between 35-50 years old.
",38,curvy,,,,,,,,,,,," 5'2"" (157cm)",,,,,,,,,,,,,,divorced,,
http://seattle.craigslist.org/sno/w4m/5490303695.html,seattle,sno,2016-03-14 06:08,2016-03-14 06:08,msr,w4m,Looking,"
So I am attached...atm. not thinking it's going to last much longer since I have caught him lieing to me. Anyways so I thought I would come see if there is anyone out here interested in a 30 year old bbw who's cute, sweet,down to earth, employed and fun to be around. Please send pics no pic no response. Also please change subject to bbw love.
",,big,,,,,,,,,,,,,,,,,,,,,,,,,,partnered,,
http://seattle.craigslist.org/est/w4m/5490285365.html,seattle,est,2016-03-14 05:49,2016-03-14 05:49,msr,w4m,Looking for the perfect ltr,"
Looking for the perfect.relationship.I'm sexy Brazilian beauty looking for a white man for exclusive benefits.traveling and special dining and special events
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/see/w4m/5490211531.html,seattle,see,2016-03-14 03:36,2016-03-14 05:35,msr,w4m,FUN A to Night Now??????????????,"
I want to have some fun right now.
So bored,send some ideas on how you wanna spend the rest of tonight......................................
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
